RElbow_x,RElbow_y,RWrist_x,RWrist_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,time,pitch,filename,RWrist_vel_x,RWrist_vel_y,LWrist_vel_x,LWrist_vel_y,LElbow_vel_x,LElbow_vel_y,RElbow_vel_x,RElbow_vel_y,RWrist_vel,LWrist_vel,RElbow_vel,LElbow_vel,RElbow_accl,LElbow_accl,RWrist_accl_x,RWrist_accl_y,LWrist_accl_x,LWrist_accl_y,LElbow_accl_x,LElbow_accl_y,RElbow_accl_x,RElbow_accl_y,RWrist_accl,LWrist_accl
-0.816,-0.718,-1.352,1.354,-0.712,-3.052,-0.041,0.619,0.0,-3000.0,AK_Pakad_Bag.csv,5.561423313592766,-5.40319405365452,-0.4356393951400585,-2.934572372017105,2.3411482168783087,9.700272313902868,4.369017489216461,5.144336574504451,1.0,0.2512038764391484,0.8811959475353699,0.7770083319339177,0.6829676147845487,0.20635792106292325,-10.944402251392498,8.78636107038837,2.505908952028154,1.3460103545838196,-2.252289394774744,-10.915073546836066,-14.315704051887158,-22.156951279452095,0.5129262185603156,0.04925440171006825
-0.827,-0.729,-1.353,1.358,-0.711,-3.087,-0.018,0.674,0.009999999999999787,-3000.0,AK_Pakad_Bag.csv,5.539848844920209,-5.367875764117563,-0.5110198654723546,-2.8520520472747717,2.3045799368003825,9.518812547635065,4.422111538048136,5.279372797471715,0.9948074476763729,0.24532547475056984,0.899156252377423,0.7625552853446019,0.6703037932956946,0.17283072645130865,-10.118217011508598,7.874115448081641,2.315103329931917,0.912253735413727,-1.8056328466920666,-9.181823718800375,-13.865928449402235,-21.864602465227083,0.46837752233111696,0.04305118991816258
-0.838,-0.738,-1.353,1.361,-0.708,-3.103,-0.022,0.732,0.019999999999999574,-3000.0,AK_Pakad_Bag.csv,5.494345540122035,-5.308046455938202,-0.5882856156638288,-2.7496133641318967,2.2561550847005027,9.290395551808741,4.462000093257093,5.403252386826801,0.9851805136549616,0.23805767414744808,0.9149339177883546,0.744318578659315,0.6535933484699438,0.13633368047518282,-9.191416570930604,6.864374581438395,2.08927323804872,0.46683859320387366,-1.3226079457018627,-7.293052558712014,-13.316180406778816,-21.44824936928308,0.41885927521652105,0.036997929577926976
-0.849,-0.746,-1.352,1.362,-0.704,-3.099,-0.058,0.789,0.02999999999999936,-3000.0,AK_Pakad_Bag.csv,5.425546619791733,-5.224354267156043,-0.666320802800505,-2.6279911914730367,2.196308822971687,9.017730112230673,4.48881374526802,5.515459647766467,0.9712371695696198,0.2295113160622196,0.9284934173996529,0.7225118530292287,0.6329261789078695,0.09717137194793452,-8.170802498930646,5.764512838477808,1.828524161422536,0.017045024412060714,-0.8071590963385962,-5.262716361647717,-12.6688434586325,-20.909660260446085,0.3648304693931735,0.03156068145361068
-0.86,-0.753,-1.352,1.362,-0.695,-3.072,-0.117,0.839,0.03999999999999915,-3000.0,AK_Pakad_Bag.csv,5.334376677223441,-5.11774357708235,-0.7438744524463486,-2.488215376440063,2.125600387164358,8.704089473671182,4.502824308838839,5.615596448127857,0.9531493237284447,0.21982565214624614,0.9398219037092367,0.6973938615924566,0.6084439563735081,0.05578690491084433,-7.06450521128003,4.5832472043772485,1.533444505075655,-0.42937125204378673,-0.2637773852339905,-3.1068570988429847,-11.927416225333179,-20.252049654380695,0.3068978948102141,0.0274472639865485
-0.871,-0.762,-1.352,1.359,-0.682,-3.026,-0.187,0.88,0.049999999999998934,-3000.0,AK_Pakad_Bag.csv,5.222040108577603,-4.989432824812604,-0.8196115591290365,-2.3315951601622653,2.044712236092205,8.353247686903137,4.504447768494692,5.703379396848256,0.9311397704925686,0.20916769940697647,0.9489289816033597,0.669263623679308,0.5803393222619607,0.014105152143641926,-5.881842830475445,3.330497548820378,1.2051225281325704,-0.8643173404691771,0.3025724106177559,-0.8433296202034365,-11.09644046712034,-19.480010703729494,0.24591467981779566,0.0255419477570304
-0.88,-0.777,-1.351,1.356,-0.662,-2.963,-0.249,0.91,0.0600000000000005,-3000.0,AK_Pakad_Bag.csv,5.089987765755946,-4.840875718606495,-0.8921534890920487,-2.15971080426018,1.9544201758637727,7.969395878385242,4.494218229516059,5.778641964739487,0.9054756290517344,0.19773249318651218,0.9558446210570455,0.6384535233119761,0.5488550116456646,0.030120095526089484,-4.633153983689829,2.017221304705443,0.8451548376802731,-1.2795144282197026,0.8865358168408819,1.508510059244624,-10.181408247476154,-18.59941932401948,0.18330320500830305,0.026420019225035177
-0.888,-0.799,-1.351,1.351,-0.637,-2.889,-0.29,0.932,0.07000000000000028,-3000.0,AK_Pakad_Bag.csv,4.939880899721193,-4.67374068077469,-0.9601294652494673,-1.9744011817170077,1.855590828887003,7.557064715986394,4.472774902321801,5.841321483964017,0.8764631681294206,0.1857438516804164,0.9606166445657223,0.6053233929043813,0.5142835102962303,0.07605577228112621,-3.3296090649882966,0.6552269533124807,0.4556460005948917,-1.666658344586256,1.4824616248044162,3.9281469752162614,-9.18865109379708,-17.617312761687057,0.12239039175106978,0.029805398418621426
-0.896,-0.828,-1.35,1.347,-0.612,-2.811,-0.302,0.949,0.08000000000000007,-3000.0,AK_Pakad_Bag.csv,4.773557531039894,-4.48987106627495,-1.0221857272085249,-1.777748156833747,1.7491698895966101,7.121033986105964,4.440840798763542,5.89144284789223,0.844441142174611,0.17345373969341202,0.9633072173387011,0.5702534611562529,0.4769682431164391,0.12345533831007086,-1.983005064716954,-0.7430287940253124,0.039198886040973026,-2.0175855006971504,2.084501420167954,6.394270477635983,-8.125214489723986,-16.54174598300983,0.07556838391888854,0.03485870151170626
-0.903,-0.861,-1.349,1.343,-0.588,-2.733,-0.286,0.965,0.08999999999999986,-3000.0,AK_Pakad_Bag.csv,4.592992853929703,-4.29124200761736,-1.0770071213386192,-1.5720442288928294,1.6361708519189735,6.666219989642971,4.399210599920097,5.929109738398581,0.809773286355429,0.16113992558899734,0.9639908723185309,0.5336356425841777,0.43730801519277995,0.17141995465530258,-0.6055493796838174,-2.1646547468400867,-0.4011044326182117,-2.3244401574979294,2.686713177233956,8.885148662884705,-6.998721421009012,-15.381629945555673,0.08034364919676212,0.04079469318640439
