time,pitch,energy
0.0,-3000.0,0.0
0.01,-3000.0,0.0
0.02,-3000.0,0.0
0.03,-3000.0,0.0
0.04,-3000.0,0.0
0.05,-3000.0,0.0
0.06,-3000.0,0.0
0.07,-3000.0,27.671367854678575
0.08,-3000.0,29.051209443450173
0.09,-3000.0,32.11409312201207
0.1,-3000.0,38.25325931260912
0.11,-3000.0,45.39582164682529
0.12,-3000.0,51.36398714432
0.13,-3000.0,55.93905568599968
0.14,-3000.0,59.295250592152776
0.15,-3000.0,61.647367789865385
0.16,-3000.0,63.22438716627685
0.17,-3000.0,64.26014978446466
0.18,-3000.0,64.94898057554913
0.19,-3000.0,65.39713692930457
0.2,-3000.0,65.6460254481393
0.21,-3000.0,65.75364683262723
0.22,-3000.0,65.82083236767119
0.23,-3000.0,65.92124105622631
0.24,-3000.0,66.04825075792706
0.25,-3000.0,66.17038840183669
0.26,-3000.0,66.28708496361743
0.27,-3000.0,66.38306086567898
0.28,-3000.0,66.38522379864841
0.29,-3000.0,66.23386859734312
0.3,-3000.0,65.97116067066085
0.31,-3000.0,65.7161341177264
0.32,-3000.0,65.57191142326108
0.33,-3000.0,65.59485191464714
0.34,-3000.0,65.7977890635245
0.35000000000000003,-3000.0,66.11001556709503
0.36,-3000.0,66.39719265845443
0.37,-3000.0,66.57035707646186
0.38,-3000.0,66.63857421891491
0.39,-3000.0,66.64723747884454
0.4,-3000.0,66.59744872603166
0.41000000000000003,-3000.0,66.45983752525149
0.42,-3000.0,66.23968206899661
0.43,-3000.0,65.9753359052325
0.44,-3000.0,65.6900042169003
0.45,-3000.0,65.39062243305719
0.46,-3000.0,65.0932296583931
0.47000000000000003,-3000.0,64.80629215467881
0.48,-3000.0,64.51080600782919
0.49,-3000.0,64.19071164897836
0.5,-3000.0,63.86183295025654
0.51,-3000.0,63.53836274369926
0.52,-3000.0,63.176564043188726
0.53,-3000.0,62.68084746871737
0.54,-3000.0,61.97209232781063
0.55,-3000.0,61.04294271160393
0.56,-3000.0,59.96658244742734
0.5700000000000001,-3000.0,58.88339615583682
0.58,-3000.0,57.971579031263296
0.59,-3000.0,57.35402748981421
0.6,-3000.0,56.986282934632
0.61,-3000.0,56.707398400409744
0.62,-3000.0,56.40822583619082
0.63,-3000.0,56.08691847946801
0.64,-3000.0,55.76908415110058
0.65,-3000.0,55.436650137133526
0.66,-3000.0,55.05141340393156
0.67,-3000.0,54.601163570310476
0.68,-3000.0,54.08268718923023
0.6900000000000001,-3000.0,53.458158911291974
0.7000000000000001,-3000.0,52.66420641378284
0.71,-3000.0,51.668948079990905
0.72,-3000.0,50.51861033918684
0.73,-3000.0,49.33891620014007
0.74,-3000.0,48.27001176509519
0.75,-3000.0,47.35968071913462
0.76,-3000.0,46.553563556876114
0.77,-3000.0,45.84999549355909
0.78,-3000.0,45.39324653272381
0.79,-3000.0,45.30778259100858
0.8,-3000.0,45.5423046804267
0.81,-3000.0,45.9766535098935
0.8200000000000001,-3000.0,46.51224841205134
0.8300000000000001,-3000.0,47.06123194249326
0.84,-3000.0,47.56355518440125
0.85,-3000.0,48.00262805441197
0.86,-3000.0,48.375009581604544
0.87,-3000.0,48.656635789535336
0.88,-3000.0,48.839595222826645
0.89,-3000.0,48.99906527422029
0.9,-3000.0,49.265342581917174
0.91,-3000.0,49.72627282709243
0.92,-3000.0,50.432337427711374
0.93,-3000.0,51.468313256244045
0.9400000000000001,-3000.0,52.88252643319944
0.9500000000000001,-3000.0,54.56468466884882
0.96,-3000.0,56.29696084596137
0.97,-3000.0,57.87074022758858
0.98,-3000.0,59.13095573347847
0.99,-3000.0,59.98620301033837
1.0,1201.0,60.41218836444753
1.01,1206.0,60.44875028325021
1.02,1214.0,60.20229719157501
1.03,1219.0,59.856248425566825
1.04,1221.0,59.648655091226466
1.05,1219.0,59.76393059451352
1.06,1218.0,60.219449867339414
1.07,1213.0,60.899838814382356
1.08,1208.0,61.655581025830834
1.09,1206.0,62.34041664060045
1.1,1204.0,62.837022671569585
1.11,1198.0,63.09397288414312
1.12,1192.0,63.136878600446316
1.1300000000000001,1189.0,63.04645616556948
1.1400000000000001,1185.0,62.92920222510932
1.1500000000000001,1182.0,62.896434682839754
1.16,1181.0,63.02152924860326
1.17,1186.0,63.27269353790372
1.18,1189.0,63.519943530263795
1.19,1193.0,63.639663393250544
1.2,1200.0,63.60360157444607
1.21,1204.0,63.49264085189192
1.22,1207.0,63.430822305641854
1.23,1201.0,63.461855921477486
1.24,1197.0,63.49167432024849
1.25,1197.0,63.374389402106715
1.26,1200.0,63.025386873015876
1.27,1203.0,62.46881391275183
1.28,1206.0,61.83933020263614
1.29,1206.0,61.35129958792963
1.3,1203.0,61.19936969008155
1.31,1191.0,61.40560240018321
1.32,1179.0,61.782391279759324
1.33,1173.0,62.06699341582819
1.34,1170.0,62.04264970302954
1.35,1168.0,61.56668124294034
1.36,1166.0,60.553797303501845
1.37,-3000.0,58.94662262713493
1.3800000000000001,-3000.0,56.68817541531974
1.3900000000000001,-3000.0,53.71701844085249
1.4000000000000001,-3000.0,50.052541802501544
1.41,-3000.0,46.22849998580054
1.42,-3000.0,43.87769800131402
1.43,-3000.0,43.550474177532514
1.44,-3000.0,43.21279370568342
1.45,-3000.0,41.790010714083486
1.46,-3000.0,39.14197916482666
1.47,-3000.0,35.539411838134136
1.48,-3000.0,31.825988877649532
1.49,-3000.0,29.07619185895
