nose_x,nose_y,nose_z,LEye_x,LEye_y,LEye_z,REye_x,REye_y,REye_z,LEar_x,LEar_y,LEar_z,REar_x,REar_y,REar_z,LShoulder_x,LShoulder_y,LShoulder_z,RShoulder_x,RShoulder_y,RShoulder_z,LElbow_x,LElbow_y,LElbow_z,RElbow_x,RElbow_y,RElbow_z,LWrist_x,LWrist_y,LWrist_z,RWrist_x,RWrist_y,RWrist_z,LHip_x,LHip_y,LHip_z,RHip_x,RHip_y,RHip_z,LKnee_x,LKnee_y,LKnee_z,RKnee_x,RKnee_y,RKnee_z,LAnkle_x,LAnkle_y,LAnkle_z,RAnkle_x,RAnkle_y,RAnkle_z,time
989.1883013675352,273.46819481482873,,1020.648098019069,237.77262421246118,,948.2325177873896,249.59345741000743,,1071.9407181348358,255.03670006562766,,906.4576639127334,276.44849255197505,,1181.785812446975,414.27320320311884,-0.257912437127495,830.4679439769076,466.4626123666301,-0.2584590866978739,1291.329020524226,632.682927847371,-0.20895961899389823,798.3586410591506,703.8520524383131,-0.16400325156714587,1328.4284398104196,866.2113515684974,-0.3018550963924249,772.6132870299941,897.4712980500947,-0.2595378807477978,1135.309185992231,792.9830223828191,-0.2230158024013004,917.8842367457055,811.8623479486824,-0.25718101866798576,1405.100300449206,833.2055540571853,0.17003917370446647,725.1879888533338,995.34501678526,0.04564876207249849,1264.1094694131423,718.161440237155,-0.13923909867684459,1144.9162880146055,952.8401437770497,0.0018252659648200944,0.0
988.0438973365791,273.60988440880413,,1020.0979669690527,237.3690434846096,,947.7433605822898,249.78748829501953,,1071.6274402620884,254.60454045439357,,906.0302263690186,276.53778589072357,,1181.4737071041613,414.01722407572197,-0.25844285056312866,830.6112582521744,466.33091008902056,-0.256721673093847,1290.4025321422891,631.9551156061884,-0.21319380941491953,798.2125895918765,703.7126031245583,-0.16561023870744324,1328.6974204420355,867.0063884121109,-0.3065296017264425,771.9585628891732,896.9475798554477,-0.2640662246661259,1135.0539705045935,792.9832747693056,-0.2236815227921655,916.3642214952014,811.5397265088429,-0.26160991787139903,1404.29679838056,831.3147585966857,0.17045551467670028,770.5891936683804,981.3953656404346,0.04107202174239527,1278.1492013271659,792.3239194528492,-0.13857655352404138,1146.3002779368212,962.9159107368534,0.0001213518542125707,0.042
988.0439513812246,273.75225573986575,,1019.6204192984327,237.34282228275165,,947.2836236029605,250.19676818551764,,1071.1850458931876,254.38571869943814,,905.595246439137,276.4033108830222,,1181.1656238802275,414.0489518640326,-0.2597078483595744,830.6483542200277,466.2486357995176,-0.2558125103279014,1290.5941246935222,632.6490922479405,-0.21562605880548083,797.8353165281699,703.763996358077,-0.16609333051006187,1329.1424266149183,867.3791334541496,-0.3091533845115955,771.4672355483729,897.3919840230574,-0.2658278703840191,1134.7015383908088,793.142535588335,-0.22215039271566,916.2195591363629,811.6241269716614,-0.2595368591228904,1404.0421946361314,831.0094203013068,0.1762954679316623,752.2687166492767,982.0437866558851,0.04001339226678732,1268.924046362358,782.4446414325007,-0.13850629828897004,1146.2688232429055,968.5567457678038,-0.001455196250580089,0.084
988.7232036905536,273.8322011240714,,1019.2945542849708,237.49241481309588,,946.9478264045534,250.60810004733835,,1070.7585464247104,254.28988063139983,,905.2360933385324,276.1128463103993,,1180.938551858442,414.18021414566755,-0.26067369599121903,830.6164538227745,466.18373659457507,-0.25580448617037527,1291.3497072959497,633.9935453304738,-0.21567023708814828,797.3594594851095,703.9299435413509,-0.16613991396116268,1329.6235274376365,867.436537210492,-0.3092644857585853,770.9115812955428,898.165932791574,-0.26609483592419314,1134.3897830075202,793.2532721525807,-0.22011945004189504,916.7207515187737,811.8362812724388,-0.2554346399406168,1404.1051931395236,831.979856567419,0.18195182912845462,717.1316831900024,988.9831952266916,0.04086917104372362,1248.2401992180041,737.1770428596292,-0.1387050858301289,1145.2950031105447,971.1531574235596,-0.0020443602510032324,0.126
989.6965067995111,273.8088823865345,,1019.1668143724391,237.66533511008768,,946.7964940942857,250.85938519479373,,1070.4537325037106,254.24882073421193,,905.0132425755115,275.7290357284964,,1180.8436193179816,414.27259536315466,-0.26065291547735703,830.5411601535387,466.1120516849951,-0.25668228657960745,1292.240105285483,635.3941113136348,-0.21311852934971107,796.8905965663045,704.1327223407053,-0.16627984768272389,1330.0379368448655,867.2834081668278,-0.3067535062417892,770.1405534216905,898.7541170072607,-0.2659066391453913,1134.2135610971065,793.1744279352029,-0.2188505771843389,917.3021740742743,811.9715506966182,-0.2526096997613697,1404.2992239550433,833.8781754403545,0.18345222219745097,698.7650374689233,996.0399805290787,0.04235926414903682,1225.2897790578281,693.0179328584459,-0.13892961030935103,1143.791881433279,971.8598937145406,-0.0011295452877229414,0.168
990.6588255889047,273.6637308614239,,1019.2509851706209,237.7581570364093,,946.8561573314391,250.83962329067148,,1070.3371740277198,254.2164821451026,,904.9642759512437,275.30938746706835,,1180.906093733932,414.2374368239328,-0.25930428538219064,830.4364574562619,466.017312395928,-0.25834239570193784,1292.9610602159214,636.4333755592697,-0.20814143584118125,796.5072463618931,704.2931766863079,-0.16688546193254097,1330.3200135973868,867.0224127786568,-0.30186360649926086,769.0797822208813,898.7644961239935,-0.2660702977423847,1134.2246927876818,792.8314225698479,-0.2191705010998171,917.5620758169623,811.8999258797846,-0.25320211994057457,1404.4824432876985,836.3182756144079,0.1784590993402965,717.4375424487921,999.174005520416,0.04352718633634332,1206.65082950999,674.3074929938526,-0.1390165071918043,1142.112506820501,971.5959421079269,0.0014624202593739655,0.21000000000000002
991.3852372854959,273.4004473919885,,1019.5281954554019,237.7165142830016,,947.1193523274468,250.48891234625756,,1070.436220144843,254.1689566546178,,905.1038815598433,274.906274630008,,1181.125381777396,414.03583670038944,-0.25663284081485327,830.3047111257781,465.8911421669147,-0.2605930958717307,1293.3332298590692,636.8708723312828,-0.2012877719778122,796.2608679486167,704.3307167722344,-0.1681715586042421,1330.4412612822107,866.7540754713683,-0.2951905068327571,767.7315749903086,897.9282982033437,-0.26716032924599625,1134.4319615931981,792.2161518507208,-0.22147079328853242,917.2625793432762,811.5660268077393,-0.25818562375231474,1404.5577334833274,838.8758464329121,0.16626974102992323,780.0997798768182,996.4786069393089,0.0437400610370472,1196.2873186671961,693.2292772715055,-0.13888235324600404,1140.5499125975598,971.0445295277477,0.005561284771180415,0.252
991.9533073523489,272.98398349376873,,1020.1911141048536,237.49615883996105,,947.5891795941887,249.98486212007344,,1070.6482186673452,254.15592636430847,,905.3396459319025,274.49481689505853,,1181.5849317632553,413.4811403250592,-0.25236651932739473,830.2212384317672,465.7797978353358,-0.26336630152756135,1292.0324838593197,635.012144539945,-0.19254175158918854,796.0391180367925,704.238174871637,-0.1696846172587618,1330.3250875533085,866.3393554688291,-0.28637595944866207,765.9902989754225,896.2782451170686,-0.26849075494752617,1134.7860716519124,791.2828272228269,-0.2255351390921212,916.663516522911,810.8628381614533,-0.26662831814484744,1404.6454700014622,842.0868373355356,0.14601814021414825,898.1152753246257,987.6374393716678,0.043646491467895426,1220.964451026165,774.6591999991471,-0.13852677098007363,1139.1107113461455,969.48400080512,0.011373028353662964,0.29400000000000004
991.7708316679922,272.4754017273475,,1020.5302956824096,237.31860780266973,,948.1124041615848,249.07607166664462,,1071.2772740530213,254.0667091410661,,905.9449232660115,274.3725393115867,,1182.033644406024,413.06116989309004,-0.2483111046276316,830.173590110563,465.5004781003976,-0.26654725253020517,1292.5425728124735,635.1463277574913,-0.18477153190245138,796.2219614385081,703.7441122792433,-0.17375169087590647,1330.1756690217599,866.7384308376816,-0.27850746550664546,764.4696553339652,893.7653175144551,-0.273624788827266,1135.3345747916956,790.2705321914851,-0.23124552285511527,915.1673467739728,810.2277637954757,-0.2808038915003207,1404.2912967734953,843.4244775180498,0.12260461301654658,1016.3070475596109,977.2413620567195,0.04070565300633494,1210.50896476151,825.6495978208268,-0.13817643560240553,1137.7544275219734,970.6565429236464,0.017032222239419397,0.336
991.2402080880447,272.1235035716486,,1020.5483479785169,237.15326886196888,,948.5210184390811,247.58693581147543,,1071.5890383672345,253.92527516162204,,906.62550555496,274.37894391054937,,1182.3397353380126,412.87217871208,-0.2457020263008137,829.9463759077449,465.3128859702018,-0.26805464746237584,1292.3915223750896,634.8907398144429,-0.18083490433762256,796.5030890669115,702.898155548273,-0.17720736051382185,1330.1167371304664,866.6747226127435,-0.2751526386955801,762.9589008691341,890.4376690958353,-0.2789390369704466,1135.7953335799548,789.0842692392774,-0.23673529946257,913.1877610377304,809.4445030498736,-0.29230193674248295,1402.855343466118,842.1726766922096,0.10648391216209713,1084.7700234982576,971.9646304157727,0.03639252415959297,1209.7355744124864,870.0722608045326,-0.13761016806180448,1137.1459097759328,970.4803405285575,0.020329832572846967,0.378
