time,Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,RBigToe_x,RSmallToe_x
10.270,-0.372,-1.259,-0.112,-0.802,-0.219,-0.271,-0.456,-0.638,-1.343,1.310,0.629,-0.203,-0.156,0.252,-0.078,-0.334,-1.700,0.479,-1.263,0.638,0.347,,,,-1.864,0.292,-0.668,,,,-0.334,-1.612,-0.335,-1.530,0.087,-0.252,-0.005,-1.178,,
10.280,-0.371,-1.228,-0.099,-0.763,-0.218,-0.279,-0.463,-0.629,-1.343,1.310,0.630,-0.204,-0.186,0.227,-0.071,-0.376,-1.675,0.484,-1.256,0.651,0.321,,,,-1.828,0.304,-0.667,,,,-0.319,-1.582,-0.314,-1.515,0.091,-0.284,0.007,-1.162,,
10.290,-0.369,-1.200,-0.084,-0.719,-0.217,-0.286,-0.472,-0.618,-1.343,1.309,0.632,-0.204,-0.208,0.212,-0.064,-0.415,-1.642,0.490,-1.248,0.659,0.275,,,,-1.778,0.310,-0.665,,,,-0.303,-1.554,-0.289,-1.499,0.096,-0.318,0.017,-1.143,,
10.300,-0.368,-1.175,-0.066,-0.671,-0.216,-0.291,-0.482,-0.605,-1.343,1.308,0.633,-0.203,-0.225,0.208,-0.061,-0.446,-1.595,0.500,-1.239,0.663,0.215,,,,-1.714,0.313,-0.665,,,,-0.287,-1.529,-0.264,-1.483,0.100,-0.351,0.026,-1.123,,
10.310,-0.368,-1.153,-0.046,-0.619,-0.217,-0.293,-0.494,-0.588,-1.343,1.307,0.633,-0.202,-0.236,0.212,-0.062,-0.463,-1.532,0.515,-1.230,0.668,0.154,,,,-1.640,0.318,-0.664,,,,-0.273,-1.505,-0.239,-1.466,0.104,-0.383,0.034,-1.101,,
10.320,-0.369,-1.135,-0.022,-0.564,-0.218,-0.294,-0.507,-0.566,-1.343,1.307,0.631,-0.199,-0.244,0.226,-0.067,-0.462,-1.454,0.537,-1.220,0.679,0.102,,,,-1.563,0.329,-0.664,,,,-0.261,-1.484,-0.217,-1.448,0.106,-0.412,0.041,-1.079,,
10.330,-0.370,-1.120,0.005,-0.507,-0.219,-0.293,-0.521,-0.540,-1.343,1.307,0.630,-0.197,-0.248,0.247,-0.073,-0.445,-1.370,0.567,-1.211,0.697,0.065,,,,-1.490,0.351,-0.663,,,,-0.252,-1.464,-0.196,-1.430,0.109,-0.440,0.049,-1.057,,
10.340,-0.370,-1.109,0.036,-0.448,-0.220,-0.291,-0.535,-0.512,-1.344,1.308,0.629,-0.194,-0.250,0.272,-0.077,-0.413,-1.287,0.602,-1.201,0.726,0.042,,,,-1.427,0.382,-0.662,,,,-0.245,-1.445,-0.178,-1.412,0.113,-0.466,0.058,-1.035,,
10.350,-0.368,-1.100,0.068,-0.390,-0.220,-0.288,-0.550,-0.482,-1.344,1.310,0.629,-0.192,-0.249,0.298,-0.076,-0.368,-1.214,0.638,-1.192,0.762,0.024,,,,-1.375,0.419,-0.660,,,,-0.238,-1.426,-0.160,-1.394,0.119,-0.491,0.069,-1.011,,
10.360,-0.365,-1.093,0.100,-0.333,-0.220,-0.283,-0.565,-0.454,-1.344,1.313,0.630,-0.190,-0.246,0.320,-0.073,-0.313,-1.153,0.669,-1.184,0.803,0.004,,,,-1.333,0.455,-0.656,,,,-0.231,-1.407,-0.144,-1.375,0.128,-0.516,0.082,-0.985,,
10.370,-0.363,-1.087,0.130,-0.277,-0.218,-0.277,-0.580,-0.428,-1.343,1.316,0.632,-0.189,-0.239,0.333,-0.067,-0.250,-1.105,0.693,-1.179,0.844,-0.027,,,,-1.299,0.483,-0.653,,,,-0.223,-1.387,-0.128,-1.356,0.139,-0.540,0.094,-0.954,,
10.380,-0.362,-1.082,0.157,-0.222,-0.218,-0.268,-0.595,-0.405,-1.342,1.319,0.633,-0.188,-0.228,0.335,-0.064,-0.177,-1.067,0.708,-1.178,0.884,-0.070,,,,-1.270,0.502,-0.649,,,,-0.214,-1.368,-0.113,-1.336,0.149,-0.563,0.106,-0.920,,
10.390,-0.365,-1.076,0.179,-0.170,-0.217,-0.257,-0.607,-0.384,-1.342,1.323,0.633,-0.186,-0.211,0.327,-0.063,-0.097,-1.037,0.717,-1.180,0.920,-0.121,,,,-1.246,0.511,-0.646,,,,-0.206,-1.348,-0.100,-1.311,0.158,-0.585,0.115,-0.886,,
10.400,-0.369,-1.070,0.195,-0.121,-0.218,-0.246,-0.617,-0.365,-1.342,1.326,0.633,-0.184,-0.188,0.312,-0.067,-0.010,-1.015,0.723,-1.184,0.954,-0.176,,,,-1.228,0.515,-0.644,,,,-0.196,-1.329,-0.086,-1.284,0.164,-0.608,0.124,-0.854,,
10.410,-0.375,-1.063,0.208,-0.074,-0.219,-0.235,-0.624,-0.347,-1.342,1.330,0.631,-0.181,-0.160,0.297,-0.073,0.080,-1.000,0.730,-1.190,0.984,-0.229,,,,-1.220,0.520,-0.642,,,,-0.187,-1.312,-0.072,-1.252,0.169,-0.632,0.131,-0.826,,
10.420,-0.380,-1.055,0.219,-0.032,-0.220,-0.225,-0.627,-0.331,-1.343,1.333,0.630,-0.178,-0.127,0.288,-0.078,0.171,-0.995,0.740,-1.195,1.011,-0.281,,,,-1.223,0.528,-0.641,,,,-0.176,-1.297,-0.056,-1.217,0.172,-0.659,0.138,-0.804,,
10.430,-0.383,-1.047,0.229,0.005,-0.220,-0.214,-0.627,-0.315,-1.344,1.337,0.630,-0.177,-0.093,0.288,-0.081,0.256,-1.003,0.751,-1.200,1.034,-0.337,,,,-1.238,0.543,-0.640,,,,-0.164,-1.284,-0.038,-1.181,0.173,-0.690,0.146,-0.786,,
10.440,-0.382,-1.039,0.238,0.035,-0.220,-0.201,-0.626,-0.302,-1.345,1.339,0.630,-0.176,-0.059,0.297,-0.081,0.335,-1.023,0.761,-1.204,1.050,-0.400,,,,-1.262,0.562,-0.639,,,,-0.151,-1.273,-0.020,-1.145,0.174,-0.727,0.153,-0.769,,
10.450,-0.379,-1.032,0.248,0.060,-0.219,-0.185,-0.623,-0.292,-1.346,1.341,0.632,-0.176,-0.029,0.309,-0.079,0.403,-1.055,0.765,-1.209,1.061,-0.477,,,,-1.293,0.583,-0.638,,,,-0.136,-1.263,-0.002,-1.110,0.175,-0.767,0.161,-0.750,,
10.460,-0.375,-1.025,0.256,0.078,-0.218,-0.164,-0.620,-0.285,-1.346,1.343,0.633,-0.177,-0.004,0.319,-0.077,0.461,-1.093,0.764,-1.215,1.068,-0.564,,,,-1.325,0.605,-0.638,,,,-0.122,-1.252,0.014,-1.079,0.173,-0.808,0.167,-0.726,,
10.470,-0.371,-1.020,0.261,0.091,-0.217,-0.139,-0.618,-0.281,-1.346,1.344,0.634,-0.177,0.015,0.324,-0.078,0.509,-1.135,0.760,-1.222,1.075,-0.654,,,,-1.357,0.628,-0.638,,,,-0.108,-1.239,0.027,-1.049,0.169,-0.845,0.173,-0.696,,
10.480,-0.368,-1.016,0.263,0.099,-0.217,-0.113,-0.616,-0.281,-1.346,1.345,0.633,-0.176,0.029,0.322,-0.083,0.546,-1.179,0.756,-1.231,1.087,-0.737,,,,-1.388,0.655,-0.639,,,,-0.095,-1.227,0.037,-1.023,0.163,-0.875,0.178,-0.661,,
10.490,-0.367,-1.012,0.262,0.103,-0.218,-0.087,-0.612,-0.283,-1.345,1.346,0.632,-0.175,0.040,0.316,-0.089,0.573,-1.224,0.760,-1.242,1.110,-0.801,,,,-1.420,0.687,-0.640,,,,-0.083,-1.215,0.045,-0.997,0.156,-0.896,0.183,-0.624,,
10.500,-0.367,-1.008,0.258,0.102,-0.218,-0.065,-0.609,-0.288,-1.344,1.346,0.631,-0.174,0.051,0.309,-0.096,0.590,-1.271,0.775,-1.253,1.144,-0.838,,,,-1.455,0.728,-0.640,,,,-0.072,-1.205,0.052,-0.973,0.150,-0.907,0.188,-0.585,,
10.510,-0.366,-1.004,0.253,0.096,-0.218,-0.048,-0.604,-0.295,-1.343,1.347,0.630,-0.174,0.062,0.306,-0.100,0.599,-1.321,0.804,-1.264,1.189,-0.849,,,,-1.495,0.776,-0.640,,,,-0.061,-1.198,0.059,-0.949,0.147,-0.911,0.195,-0.547,,
10.520,-0.363,-1.000,0.247,0.084,-0.218,-0.037,-0.600,-0.304,-1.342,1.347,0.630,-0.175,0.074,0.308,-0.100,0.602,-1.372,0.843,-1.273,1.241,-0.841,,,,-1.539,0.829,-0.640,,,,-0.049,-1.194,0.067,-0.927,0.147,-0.911,0.203,-0.511,,
10.530,-0.358,-0.997,0.241,0.067,-0.217,-0.030,-0.596,-0.314,-1.342,1.347,0.631,-0.176,0.089,0.315,-0.097,0.600,-1.419,0.888,-1.281,1.296,-0.823,,,,-1.583,0.884,-0.638,,,,-0.037,-1.190,0.076,-0.906,0.150,-0.913,0.210,-0.474,,
10.540,-0.351,-0.996,0.232,0.046,-0.217,-0.025,-0.595,-0.324,-1.341,1.346,0.632,-0.178,0.104,0.323,-0.094,0.595,-1.457,0.932,-1.285,1.349,-0.803,,,,-1.623,0.938,-0.635,,,,-0.025,-1.184,0.085,-0.886,0.157,-0.917,0.215,-0.438,,
10.550,-0.343,-0.996,0.219,0.024,-0.217,-0.021,-0.596,-0.334,-1.341,1.345,0.633,-0.179,0.118,0.328,-0.092,0.589,-1.479,0.972,-1.286,1.398,-0.786,,,,-1.654,0.988,-0.631,,,,-0.013,-1.176,0.094,-0.868,0.164,-0.927,0.219,-0.401,,
10.560,-0.335,-0.998,0.201,0.006,-0.217,-0.018,-0.599,-0.343,-1.340,1.343,0.632,-0.178,0.132,0.328,-0.093,0.579,-1.483,1.007,-1.284,1.445,-0.771,,,,-1.673,1.037,-0.626,,,,-0.001,-1.164,0.103,-0.851,0.171,-0.942,0.220,-0.365,,
10.570,-0.328,-1.002,0.179,-0.005,-0.218,-0.014,-0.602,-0.352,-1.339,1.341,0.631,-0.176,0.143,0.322,-0.097,0.564,-1.471,1.039,-1.278,1.490,-0.757,,,,-1.682,1.086,-0.621,,,,0.011,-1.150,0.111,-0.834,0.177,-0.959,0.220,-0.332,,
10.580,-0.321,-1.006,0.152,-0.008,-0.217,-0.012,-0.606,-0.361,-1.337,1.338,0.630,-0.174,0.152,0.314,-0.101,0.541,-1.450,1.072,-1.269,1.535,-0.738,,,,-1.682,1.137,-0.614,,,,0.023,-1.136,0.119,-0.817,0.183,-0.977,0.219,-0.305,,
10.590,-0.315,-1.010,0.124,-0.002,-0.217,-0.013,-0.607,-0.371,-1.336,1.335,0.629,-0.172,0.160,0.308,-0.104,0.508,-1.429,1.110,-1.260,1.579,-0.717,,,,-1.679,1.192,-0.606,,,,0.037,-1.125,0.128,-0.800,0.190,-0.994,0.219,-0.284,,
10.600,-0.307,-1.013,0.097,0.009,-0.217,-0.017,-0.607,-0.383,-1.335,1.331,0.629,-0.171,0.166,0.306,-0.102,0.465,-1.417,1.151,-1.252,1.619,-0.695,,,,-1.677,1.249,-0.596,,,,0.052,-1.118,0.137,-0.782,0.197,-1.011,0.220,-0.268,,
10.610,-0.299,-1.014,0.073,0.023,-0.217,-0.024,-0.606,-0.398,-1.334,1.327,0.629,-0.172,0.170,0.309,-0.097,0.416,-1.418,1.194,-1.247,1.652,-0.679,,,,-1.680,1.305,-0.584,,,,0.067,-1.118,0.146,-0.765,0.206,-1.028,0.220,-0.257,,
10.620,-0.289,-1.014,0.053,0.034,-0.219,-0.033,-0.603,-0.415,-1.334,1.323,0.630,-0.173,0.171,0.314,-0.091,0.367,-1.433,1.233,-1.248,1.676,-0.676,,,,-1.688,1.358,-0.570,,,,0.082,-1.121,0.153,-0.748,0.217,-1.045,0.219,-0.246,,
10.630,-0.279,-1.013,0.036,0.040,-0.223,-0.042,-0.602,-0.434,-1.334,1.318,0.631,-0.174,0.172,0.318,-0.085,0.321,-1.456,1.264,-1.256,1.691,-0.687,,,,-1.699,1.407,-0.554,,,,0.096,-1.125,0.156,-0.732,0.227,-1.062,0.216,-0.234,,
10.640,-0.268,-1.011,0.021,0.040,-0.227,-0.051,-0.601,-0.452,-1.334,1.313,0.631,-0.174,0.172,0.318,-0.082,0.283,-1.481,1.286,-1.268,1.699,-0.709,,,,-1.708,1.453,-0.538,,,,0.107,-1.129,0.157,-0.717,0.236,-1.076,0.212,-0.218,,
10.650,-0.257,-1.009,0.005,0.036,-0.229,-0.059,-0.602,-0.467,-1.335,1.309,0.631,-0.173,0.172,0.313,-0.083,0.254,-1.501,1.300,-1.283,1.706,-0.736,,,,-1.712,1.497,-0.520,,,,0.116,-1.130,0.155,-0.702,0.244,-1.084,0.205,-0.200,,
10.660,-0.245,-1.007,-0.013,0.030,-0.229,-0.067,-0.603,-0.478,-1.335,1.305,0.629,-0.171,0.175,0.307,-0.085,0.231,-1.512,1.308,-1.299,1.715,-0.761,,,,-1.707,1.541,-0.501,,,,0.122,-1.128,0.153,-0.688,0.251,-1.083,0.200,-0.181,,
10.670,-0.232,-1.006,-0.032,0.025,-0.226,-0.074,-0.605,-0.485,-1.336,1.302,0.628,-0.168,0.180,0.300,-0.086,0.212,-1.512,1.314,-1.311,1.727,-0.777,,,,-1.690,1.582,-0.480,,,,0.128,-1.124,0.151,-0.675,0.258,-1.071,0.196,-0.165,,
10.680,-0.217,-1.006,-0.052,0.024,-0.219,-0.082,-0.605,-0.487,-1.336,1.300,0.627,-0.167,0.187,0.298,-0.085,0.196,-1.503,1.321,-1.320,1.740,-0.782,,,,-1.661,1.618,-0.458,,,,0.135,-1.120,0.152,-0.662,0.266,-1.048,0.195,-0.154,,
10.690,-0.200,-1.007,-0.068,0.026,-0.210,-0.089,-0.604,-0.488,-1.337,1.297,0.627,-0.168,0.195,0.300,-0.080,0.181,-1.487,1.328,-1.325,1.749,-0.779,,,,-1.623,1.645,-0.434,,,,0.142,-1.117,0.155,-0.651,0.274,-1.014,0.197,-0.147,,
10.700,-0.183,-1.007,-0.079,0.031,-0.202,-0.094,-0.603,-0.488,-1.338,1.295,0.628,-0.169,0.202,0.305,-0.073,0.170,-1.467,1.333,-1.328,1.746,-0.772,,,,-1.578,1.659,-0.409,,,,0.151,-1.115,0.159,-0.642,0.283,-0.973,0.200,-0.142,,
10.710,-0.166,-1.008,-0.084,0.035,-0.197,-0.095,-0.601,-0.487,-1.339,1.292,0.629,-0.171,0.205,0.311,-0.066,0.166,-1.444,1.330,-1.332,1.728,-0.763,,,,-1.530,1.659,-0.383,,,,0.160,-1.113,0.163,-0.635,0.292,-0.930,0.203,-0.138,,
10.720,-0.150,-1.008,-0.081,0.036,-0.196,-0.092,-0.601,-0.486,-1.340,1.289,0.629,-0.172,0.205,0.314,-0.061,0.171,-1.421,1.317,-1.339,1.692,-0.755,,,,-1.485,1.649,-0.356,,,,0.168,-1.110,0.164,-0.631,0.298,-0.888,0.206,-0.131,,
10.730,-0.137,-1.008,-0.072,0.035,-0.199,-0.086,-0.601,-0.483,-1.341,1.286,0.629,-0.171,0.201,0.312,-0.061,0.185,-1.400,1.291,-1.352,1.641,-0.746,,,,-1.449,1.634,-0.329,,,,0.175,-1.103,0.163,-0.628,0.303,-0.848,0.207,-0.119,,
10.740,-0.126,-1.007,-0.059,0.032,-0.205,-0.079,-0.601,-0.478,-1.341,1.283,0.628,-0.169,0.194,0.307,-0.064,0.204,-1.384,1.255,-1.371,1.581,-0.734,,,,-1.423,1.619,-0.302,,,,0.180,-1.094,0.161,-0.625,0.305,-0.814,0.207,-0.103,,
10.750,-0.116,-1.007,-0.045,0.029,-0.212,-0.071,-0.602,-0.468,-1.340,1.282,0.627,-0.167,0.186,0.301,-0.068,0.224,-1.378,1.210,-1.393,1.517,-0.716,,,,-1.411,1.606,-0.275,,,,0.184,-1.082,0.158,-0.621,0.307,-0.784,0.208,-0.083,,
10.760,-0.107,-1.006,-0.031,0.027,-0.219,-0.065,-0.603,-0.453,-1.339,1.281,0.626,-0.166,0.178,0.298,-0.071,0.240,-1.384,1.160,-1.417,1.450,-0.693,,,,-1.411,1.592,-0.248,,,,0.188,-1.069,0.157,-0.617,0.308,-0.760,0.211,-0.061,,
10.770,-0.097,-1.006,-0.020,0.027,-0.224,-0.060,-0.602,-0.436,-1.338,1.280,0.626,-0.168,0.171,0.299,-0.071,0.250,-1.403,1.105,-1.441,1.382,-0.664,,,,-1.420,1.571,-0.220,,,,0.191,-1.058,0.160,-0.612,0.309,-0.739,0.216,-0.038,,
10.780,-0.088,-1.007,-0.011,0.029,-0.227,-0.057,-0.601,-0.418,-1.336,1.280,0.627,-0.171,0.165,0.304,-0.068,0.255,-1.434,1.046,-1.463,1.308,-0.631,,,,-1.434,1.533,-0.192,,,,0.195,-1.049,0.166,-0.607,0.312,-0.722,0.224,-0.017,,
10.790,-0.078,-1.007,-0.003,0.032,-0.231,-0.054,-0.600,-0.400,-1.335,1.279,0.628,-0.175,0.158,0.310,-0.064,0.258,-1.472,0.983,-1.481,1.225,-0.596,,,,-1.447,1.474,-0.164,,,,0.199,-1.042,0.175,-0.602,0.314,-0.708,0.233,0.005,,
10.800,-0.067,-1.007,0.004,0.034,-0.235,-0.049,-0.599,-0.385,-1.334,1.278,0.629,-0.178,0.149,0.315,-0.060,0.265,-1.514,0.915,-1.498,1.131,-0.557,,,,-1.459,1.395,-0.136,,,,0.201,-1.037,0.184,-0.597,0.315,-0.698,0.242,0.028,,
10.810,-0.056,-1.007,0.012,0.034,-0.241,-0.042,-0.598,-0.373,-1.333,1.277,0.629,-0.179,0.139,0.315,-0.060,0.280,-1.555,0.846,-1.512,1.029,-0.512,,,,-1.470,1.305,-0.109,,,,0.202,-1.033,0.193,-0.594,0.313,-0.689,0.249,0.052,,
10.820,-0.045,-1.007,0.022,0.032,-0.249,-0.034,-0.599,-0.363,-1.333,1.275,0.629,-0.178,0.127,0.311,-0.064,0.302,-1.594,0.777,-1.527,0.926,-0.458,,,,-1.483,1.215,-0.084,,,,0.201,-1.028,0.201,-0.591,0.310,-0.682,0.256,0.079,,
10.830,-0.032,-1.007,0.035,0.029,-0.257,-0.025,-0.600,-0.353,-1.333,1.273,0.628,-0.175,0.116,0.305,-0.069,0.330,-1.632,0.716,-1.542,0.830,-0.396,,,,-1.503,1.141,-0.059,,,,0.198,-1.023,0.207,-0.590,0.305,-0.676,0.262,0.107,,
10.840,-0.018,-1.007,0.050,0.027,-0.264,-0.017,-0.600,-0.343,-1.332,1.272,0.627,-0.172,0.106,0.301,-0.074,0.356,-1.670,0.666,-1.559,0.751,-0.329,,,,-1.532,1.088,-0.035,,,,0.195,-1.020,0.214,-0.590,0.300,-0.669,0.269,0.138,,
10.850,-0.001,-1.007,0.066,0.026,-0.269,-0.011,-0.600,-0.332,-1.331,1.272,0.627,-0.172,0.097,0.300,-0.076,0.376,-1.709,0.631,-1.575,0.692,-0.262,,,,-1.568,1.058,-0.010,,,,0.192,-1.018,0.222,-0.591,0.297,-0.662,0.278,0.168,,
10.860,0.018,-1.007,0.081,0.027,-0.272,-0.006,-0.600,-0.319,-1.329,1.272,0.628,-0.174,0.090,0.303,-0.075,0.386,-1.743,0.608,-1.590,0.654,-0.200,,,,-1.607,1.042,0.014,,,,0.189,-1.021,0.230,-0.595,0.296,-0.653,0.287,0.198,,
10.870,0.037,-1.008,0.094,0.029,-0.273,-0.002,-0.599,-0.307,-1.325,1.274,0.629,-0.177,0.084,0.310,-0.072,0.385,-1.769,0.596,-1.602,0.632,-0.147,,,,-1.643,1.028,0.039,,,,0.188,-1.026,0.240,-0.599,0.297,-0.643,0.298,0.226,,
10.880,0.056,-1.009,0.103,0.032,-0.275,0.002,-0.598,-0.297,-1.322,1.276,0.630,-0.180,0.078,0.315,-0.068,0.378,-1.777,0.588,-1.609,0.621,-0.099,,,,-1.669,1.004,0.065,,,,0.186,-1.034,0.249,-0.605,0.299,-0.631,0.307,0.251,,
10.890,0.073,-1.009,0.108,0.033,-0.276,0.005,-0.598,-0.291,-1.319,1.279,0.631,-0.182,0.074,0.318,-0.065,0.369,-1.765,0.580,-1.610,0.613,-0.050,,,,-1.680,0.963,0.090,,,,0.185,-1.042,0.257,-0.611,0.301,-0.619,0.316,0.272,,
10.900,0.088,-1.009,0.108,0.032,-0.279,0.007,-0.598,-0.289,-1.316,1.282,0.630,-0.180,0.073,0.316,-0.065,0.363,-1.731,0.571,-1.605,0.608,0.007,,,,-1.679,0.908,0.116,,,,0.185,-1.049,0.263,-0.616,0.303,-0.606,0.322,0.288,,
10.910,0.102,-1.009,0.104,0.029,-0.281,0.006,-0.599,-0.291,-1.315,1.285,0.629,-0.177,0.075,0.310,-0.066,0.362,-1.683,0.561,-1.595,0.605,0.080,,,,-1.668,0.846,0.142,,,,0.185,-1.055,0.268,-0.618,0.303,-0.594,0.328,0.297,,
10.920,0.116,-1.008,0.097,0.027,-0.282,0.001,-0.601,-0.295,-1.314,1.288,0.629,-0.173,0.083,0.304,-0.068,0.365,-1.629,0.554,-1.581,0.606,0.171,,,,-1.655,0.788,0.167,,,,0.186,-1.059,0.272,-0.617,0.302,-0.585,0.333,0.298,,
10.930,0.130,-1.008,0.088,0.026,-0.282,-0.006,-0.601,-0.300,-1.315,1.292,0.628,-0.171,0.094,0.301,-0.068,0.367,-1.583,0.552,-1.565,0.616,0.274,,,,-1.646,0.745,0.193,,,,0.189,-1.063,0.276,-0.613,0.302,-0.580,0.338,0.292,,
10.940,0.146,-1.008,0.078,0.026,-0.280,-0.015,-0.601,-0.304,-1.317,1.296,0.628,-0.171,0.107,0.302,-0.065,0.366,-1.550,0.556,-1.548,0.635,0.382,,,,-1.644,0.722,0.218,,,,0.195,-1.068,0.281,-0.608,0.302,-0.581,0.343,0.280,,
10.950,0.164,-1.009,0.068,0.029,-0.276,-0.022,-0.601,-0.308,-1.318,1.300,0.630,-0.174,0.118,0.306,-0.060,0.358,-1.534,0.564,-1.533,0.661,0.485,,,,-1.649,0.715,0.244,,,,0.202,-1.075,0.286,-0.603,0.303,-0.588,0.348,0.263,,
10.960,0.182,-1.011,0.060,0.032,-0.272,-0.027,-0.600,-0.311,-1.320,1.304,0.631,-0.177,0.125,0.311,-0.055,0.343,-1.530,0.575,-1.518,0.692,0.577,,,,-1.654,0.718,0.270,,,,0.211,-1.084,0.291,-0.599,0.304,-0.600,0.352,0.245,,
10.970,0.200,-1.013,0.054,0.034,-0.267,-0.026,-0.599,-0.316,-1.321,1.308,0.632,-0.178,0.125,0.314,-0.050,0.324,-1.529,0.585,-1.505,0.722,0.659,,,,-1.653,0.724,0.296,,,,0.221,-1.094,0.294,-0.597,0.305,-0.613,0.355,0.229,,
10.980,0.217,-1.015,0.052,0.035,-0.263,-0.021,-0.599,-0.325,-1.322,1.311,0.632,-0.177,0.118,0.313,-0.048,0.302,-1.523,0.592,-1.492,0.748,0.736,,,,-1.643,0.730,0.321,,,,0.230,-1.103,0.295,-0.598,0.305,-0.623,0.356,0.214,,
10.990,0.231,-1.016,0.054,0.035,-0.259,-0.014,-0.601,-0.338,-1.322,1.313,0.631,-0.173,0.108,0.309,-0.049,0.279,-1.508,0.597,-1.479,0.769,0.815,,,,-1.620,0.733,0.347,,,,0.240,-1.111,0.295,-0.600,0.305,-0.628,0.356,0.202,,
11.000,0.244,-1.015,0.060,0.033,-0.254,-0.009,-0.602,-0.356,-1.323,1.315,0.630,-0.167,0.098,0.303,-0.051,0.257,-1.486,0.602,-1.468,0.786,0.903,,,,-1.589,0.738,0.372,,,,0.249,-1.118,0.293,-0.602,0.303,-0.624,0.355,0.191,,
11.010,0.255,-1.013,0.070,0.033,-0.248,-0.008,-0.603,-0.378,-1.324,1.317,0.629,-0.163,0.092,0.299,-0.052,0.233,-1.462,0.609,-1.458,0.801,1.000,,,,-1.554,0.750,0.398,,,,0.258,-1.122,0.292,-0.604,0.303,-0.612,0.353,0.180,,
11.020,0.265,-1.010,0.083,0.033,-0.241,-0.011,-0.603,-0.400,-1.325,1.318,0.629,-0.163,0.091,0.299,-0.051,0.205,-1.445,0.620,-1.452,0.814,1.100,,,,-1.520,0.769,0.423,,,,0.268,-1.126,0.291,-0.605,0.303,-0.595,0.352,0.170,,
11.030,0.275,-1.006,0.097,0.035,-0.235,-0.018,-0.602,-0.421,-1.327,1.319,0.630,-0.166,0.095,0.302,-0.048,0.172,-1.440,0.634,-1.450,0.825,1.192,,,,-1.493,0.795,0.449,,,,0.277,-1.129,0.290,-0.604,0.304,-0.575,0.350,0.161,,
11.040,0.284,-1.003,0.111,0.037,-0.228,-0.024,-0.601,-0.438,-1.329,1.321,0.631,-0.171,0.103,0.308,-0.044,0.134,-1.447,0.648,-1.451,0.831,1.264,,,,-1.471,0.820,0.475,,,,0.287,-1.132,0.289,-0.603,0.305,-0.557,0.347,0.155,,
11.050,0.294,-0.999,0.125,0.040,-0.223,-0.026,-0.600,-0.451,-1.331,1.322,0.632,-0.175,0.111,0.312,-0.041,0.093,-1.461,0.656,-1.454,0.828,1.308,,,,-1.454,0.837,0.501,,,,0.295,-1.134,0.287,-0.603,0.306,-0.542,0.344,0.153,,
11.060,0.302,-0.997,0.138,0.041,-0.217,-0.023,-0.600,-0.459,-1.332,1.322,0.633,-0.176,0.117,0.313,-0.040,0.054,-1.471,0.654,-1.456,0.813,1.322,,,,-1.436,0.837,0.526,,,,0.301,-1.134,0.285,-0.605,0.307,-0.532,0.339,0.155,,
11.070,0.309,-0.996,0.153,0.041,-0.212,-0.014,-0.601,-0.465,-1.333,1.322,0.632,-0.172,0.118,0.310,-0.043,0.017,-1.468,0.642,-1.455,0.785,1.310,,,,-1.415,0.819,0.552,,,,0.305,-1.133,0.282,-0.609,0.306,-0.524,0.335,0.162,,
11.080,0.315,-0.996,0.168,0.040,-0.206,-0.001,-0.602,-0.468,-1.333,1.321,0.631,-0.164,0.115,0.305,-0.047,-0.013,-1.449,0.619,-1.448,0.748,1.279,,,,-1.391,0.785,0.577,,,,0.308,-1.132,0.280,-0.614,0.305,-0.518,0.332,0.171,,
11.090,0.319,-0.996,0.186,0.039,-0.200,0.012,-0.604,-0.471,-1.333,1.320,0.629,-0.158,0.109,0.300,-0.052,-0.037,-1.416,0.591,-1.436,0.704,1.236,,,,-1.366,0.743,0.603,,,,0.309,-1.132,0.280,-0.621,0.304,-0.513,0.332,0.180,,
11.100,0.321,-0.997,0.206,0.039,-0.193,0.020,-0.604,-0.474,-1.332,1.319,0.629,-0.154,0.101,0.298,-0.055,-0.056,-1.378,0.562,-1.420,0.659,1.187,,,,-1.348,0.701,0.628,,,,0.310,-1.136,0.281,-0.628,0.304,-0.511,0.335,0.188,,
11.110,0.321,-0.999,0.226,0.040,-0.189,0.024,-0.604,-0.475,-1.332,1.318,0.629,-0.156,0.093,0.300,-0.056,-0.071,-1.347,0.536,-1.403,0.619,1.131,,,,-1.342,0.666,0.654,,,,0.309,-1.145,0.283,-0.635,0.305,-0.513,0.341,0.195,,
11.120,0.319,-1.002,0.244,0.041,-0.190,0.022,-0.602,-0.474,-1.332,1.318,0.631,-0.162,0.086,0.304,-0.055,-0.081,-1.332,0.514,-1.388,0.584,1.067,,,,-1.352,0.641,0.680,,,,0.308,-1.161,0.286,-0.642,0.305,-0.522,0.348,0.200,,
