Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time
992.274,271.373,1001.279,436.108,833.456,460.793,795.030,680.934,768.829,867.457,1174.734,412.483,1289.295,624.660,1330.901,858.714,1038.731,811.722,921.472,827.118,744.929,,,,1143.997,793.300,1363.220,,,,951.109,244.804,1021.795,236.187,904.881,268.485,1071.916,247.819,,,,,,,,,,,,,17,0.714
992.382,271.373,1001.267,436.129,833.430,462.020,795.431,683.173,768.960,873.783,1174.248,412.483,1288.587,624.491,1330.907,859.077,1040.026,812.296,923.122,828.884,748.157,,,,1144.735,793.060,1362.759,,,,951.119,244.810,1022.027,236.152,904.725,268.378,1071.911,247.825,,,,,,,,,,,,,18,0.756
992.371,271.493,1001.248,436.149,833.402,463.080,795.520,686.314,768.934,879.254,1173.587,412.484,1287.928,624.174,1330.904,858.788,1041.465,813.667,925.279,831.317,750.974,,,,1146.969,794.274,1363.279,,,,951.127,244.807,1021.926,235.684,904.741,268.387,1071.908,247.825,,,,,,,,,,,,,19,0.798
992.765,271.273,1001.238,436.157,833.389,463.796,795.733,689.819,768.615,883.488,1172.802,412.475,1286.997,624.228,1330.905,858.333,1044.192,815.433,928.676,834.274,752.807,,,,1151.180,797.047,1364.603,,,,951.004,244.925,1021.937,235.646,904.992,268.398,1071.907,247.828,,,,,,,,,,,,,20,0.840
992.786,271.131,1001.241,436.149,833.401,463.703,797.178,690.482,768.349,885.957,1172.375,412.470,1286.377,624.458,1330.898,858.116,1046.538,815.219,931.040,834.999,754.343,,,,1155.855,798.584,1365.939,,,,951.220,244.705,1021.925,235.781,904.632,268.409,1071.906,247.828,,,,,,,,,,,,,21,0.882
992.040,271.273,1001.261,436.128,833.428,462.829,798.302,690.928,768.317,886.418,1172.454,412.470,1286.373,625.080,1330.897,858.580,1047.851,816.053,932.273,836.256,754.331,,,,1159.581,800.094,1367.519,,,,951.359,244.568,1021.889,236.265,904.317,268.405,1071.905,247.820,,,,,,,,,,,,,22,0.924
991.056,271.732,1001.282,436.098,833.445,461.541,799.191,690.644,768.922,885.380,1172.997,412.474,1286.847,625.668,1330.898,859.126,1048.086,816.438,931.610,837.246,753.476,,,,1161.882,801.547,1368.120,,,,951.208,244.715,1021.838,237.001,904.165,268.401,1071.897,247.813,,,,,,,,,,,,,23,0.966
989.656,272.426,1001.305,436.080,833.462,460.567,799.793,690.796,770.127,885.385,1173.754,412.488,1288.013,626.029,1330.897,859.600,1049.194,818.154,931.729,839.160,752.212,,,,1163.258,803.230,1365.867,,,,950.737,245.178,1021.781,237.829,903.758,268.392,1071.888,247.802,,,,,,,,,,,,,24,1.008
988.109,273.201,1001.314,436.078,833.470,459.788,799.965,690.497,771.542,885.963,1174.411,412.510,1288.975,626.040,1330.892,859.578,1048.511,819.401,931.793,839.703,749.945,,,,1160.947,804.055,1360.880,,,,950.033,245.873,1021.732,238.427,904.296,268.389,1071.882,247.794,,,,,,,,,,,,,25,1.050
986.228,273.889,1001.313,436.087,833.472,459.699,800.219,690.439,773.191,886.305,1175.022,412.535,1289.327,625.701,1330.892,859.575,1047.778,818.829,931.905,839.305,748.890,,,,1157.309,801.728,1356.710,,,,949.365,246.529,1021.704,239.134,904.233,268.381,1071.879,247.800,,,,,,,,,,,,,26,1.092
984.768,274.217,1001.302,436.104,833.471,459.452,800.970,690.241,774.776,885.518,1174.881,412.560,1289.189,625.128,1330.893,860.376,1046.082,819.540,930.949,839.613,747.845,,,,1153.519,800.969,1354.511,,,,948.318,247.426,1021.697,239.426,904.391,268.358,1071.881,247.796,,,,,,,,,,,,,27,1.134
984.127,274.571,1001.284,436.111,833.471,459.601,801.085,690.234,775.389,885.180,1174.731,412.565,1288.747,624.485,1330.887,860.377,1044.476,819.112,929.725,838.735,746.780,,,,1149.985,799.725,1352.731,,,,947.938,248.006,1021.702,239.015,904.743,268.343,1071.892,247.785,,,,,,,,,,,,,28,1.176
984.405,274.567,1001.283,436.113,833.599,459.829,800.585,690.273,774.758,885.803,1175.200,412.569,1288.256,624.103,1330.878,859.711,1044.044,819.238,928.226,838.430,747.795,,,,1148.289,801.252,1354.246,,,,948.091,248.004,1021.708,238.553,905.255,268.335,1071.911,247.774,,,,,,,,,,,,,29,1.218
984.533,274.217,1001.290,436.104,833.382,459.691,799.827,689.891,773.166,886.283,1176.196,412.565,1288.021,624.366,1330.872,859.492,1043.474,818.759,926.646,837.551,749.501,,,,1148.320,803.234,1357.870,,,,948.692,247.420,1021.706,238.123,905.846,268.354,1071.927,247.765,,,,,,,,,,,,,30,1.260
984.925,273.889,1001.304,436.102,833.108,459.671,798.381,688.967,771.391,885.142,1176.865,412.577,1288.609,624.597,1330.863,859.207,1044.043,817.705,926.928,836.175,749.938,,,,1148.998,802.851,1357.376,,,,948.817,246.526,1021.708,237.182,906.384,268.380,1071.936,247.754,,,,,,,,,,,,,31,1.302
985.806,273.196,1001.320,436.105,833.468,459.796,796.493,688.755,770.213,884.252,1177.106,412.572,1288.807,624.330,1330.864,859.085,1044.882,817.340,927.565,835.442,749.418,,,,1149.680,802.487,1353.874,,,,948.866,245.876,1021.719,235.990,906.637,268.399,1071.942,247.744,,,,,,,,,,,,,32,1.344
987.209,272.413,1001.329,436.101,834.082,459.448,795.421,687.756,769.174,883.558,1176.854,412.559,1289.883,624.706,1330.866,859.167,1045.314,815.132,928.047,833.108,749.505,,,,1150.297,799.874,1345.389,,,,949.071,245.182,1021.737,234.913,907.031,268.420,1071.943,247.737,,,,,,,,,,,,,33,1.386
988.096,271.722,1001.329,436.104,834.647,459.553,794.931,687.838,768.430,882.883,1176.183,412.541,1289.829,624.653,1330.866,859.293,1045.029,813.080,927.964,831.303,748.567,,,,1148.047,796.477,1340.940,,,,949.158,244.724,1021.758,233.725,907.233,268.416,1071.939,247.738,,,,,,,,,,,,,34,1.428
988.615,271.273,1001.317,436.098,834.972,459.859,794.711,687.312,767.995,880.569,1175.316,412.517,1289.392,624.223,1330.871,859.758,1043.944,812.072,926.510,830.104,748.239,965.211,,,1146.063,793.916,1344.690,,,,949.073,244.590,1021.775,232.998,907.292,268.410,1071.931,247.754,,,,,,,,,,,,,35,1.470
988.623,271.149,1001.301,436.094,834.964,460.207,795.074,686.991,767.689,878.061,1174.624,412.499,1289.949,623.993,1330.875,860.496,1043.820,814.180,924.912,831.045,747.043,964.846,,,1146.232,795.506,1350.181,,,,948.870,244.738,1021.783,232.767,906.501,268.381,1071.918,247.778,,,,,,,,,,,,,36,1.512
988.364,271.306,1001.283,436.094,834.620,460.469,795.072,687.520,766.988,877.833,1174.621,412.489,1291.367,624.012,1331.000,860.092,1043.115,816.611,923.437,832.574,746.697,964.482,,,1146.665,798.539,1355.267,,,,948.698,244.966,1021.777,233.203,905.939,268.354,1071.906,247.797,,,,,,,,,,,,,37,1.554
987.912,271.540,1001.265,436.088,834.050,460.561,795.256,687.924,766.169,878.271,1174.639,412.483,1293.543,624.445,1330.768,859.807,1043.200,817.314,923.432,833.260,747.816,964.118,,,1148.661,800.047,1357.947,833.966,,,948.671,244.868,1021.758,234.114,905.179,268.344,1071.891,247.805,,,,,,,,,,,,,38,1.596
987.197,271.429,1001.257,436.089,833.442,460.472,795.986,688.161,765.845,880.226,1175.090,412.483,1295.398,623.341,1330.888,858.789,1043.533,818.678,924.359,834.095,750.921,963.754,,,1149.409,802.223,1356.827,830.083,,,948.573,244.890,1021.734,235.255,904.505,268.350,1071.878,247.805,,,,,,,,,,,,,39,1.638
986.494,271.436,1001.255,436.088,833.211,460.215,797.504,687.961,765.494,883.054,1175.104,412.367,1297.359,622.280,1330.563,858.398,1043.901,818.257,926.252,833.064,752.508,963.389,,,1148.313,801.153,1349.760,824.025,,,948.215,244.906,1021.710,235.535,904.070,268.365,1071.864,247.788,,,,,,,,,,,,,40,1.680
985.792,271.426,1001.254,436.091,833.266,459.878,798.969,688.031,765.499,885.631,1174.960,412.733,1299.589,621.588,1330.715,857.208,1045.107,818.670,927.505,833.046,753.421,963.025,,,1148.521,801.703,1346.060,817.583,,,947.847,244.911,1021.692,235.152,903.937,268.390,1071.859,247.770,,,,,,,,,,,,,41,1.722
985.081,271.411,1001.250,436.081,833.347,459.575,800.338,688.491,765.851,888.332,1174.485,412.539,1301.299,619.810,1331.565,851.395,1045.417,820.997,927.776,835.812,753.321,962.661,,,1149.873,803.919,1349.455,817.570,,,947.855,244.906,1021.681,234.008,904.075,268.414,1071.854,247.747,,,,,,,,,,,,,42,1.764
984.640,271.390,1001.252,436.063,833.358,459.464,801.015,688.522,766.177,890.730,1173.782,412.616,1303.452,618.804,1333.560,841.179,1044.837,823.701,928.117,839.192,751.820,962.296,,,1148.920,806.718,1357.255,817.556,,,947.473,244.888,1021.676,232.414,904.410,268.426,1071.846,247.730,,,,,,,,,,,,,43,1.806
984.386,271.364,1001.257,436.045,833.814,459.779,800.381,688.983,767.005,892.523,1172.983,412.221,1305.304,617.972,1335.883,829.088,1043.572,827.867,927.457,843.529,749.499,961.932,,,1148.616,810.886,1368.648,817.543,,,947.490,244.865,1021.684,231.032,904.069,268.539,1071.848,247.721,,,,,,,,,,,,,44,1.848
984.522,271.337,1001.264,436.021,834.512,459.619,798.742,689.087,767.574,893.320,1172.403,411.690,1307.059,615.981,1337.985,818.442,1044.136,830.811,927.720,846.555,748.052,961.568,,,1151.478,812.669,1374.145,817.529,,,947.349,244.844,1021.702,230.074,903.925,268.306,1071.857,247.716,,,,,,,,,,,,,45,1.890
