Nose_x,Nose_y,Neck_x,Neck_y,RShoulder_x,RShoulder_y,RElbow_x,RElbow_y,RWrist_x,RWrist_y,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y,REye_x,REye_y,LEye_x,LEye_y,REar_x,REar_y,LEar_x,LEar_y,LBigToe_x,LBigToe_y,LSmallToe_x,LSmallToe_y,LHeel_x,LHeel_y,RBigToe_x,RBigToe_y,RSmallToe_x,RSmallToe_y,RHeel_x,RHeel_y,frame_number,time,Left_hand_0_x,Left_hand_0_y,Left_hand_1_x,Left_hand_1_y,Left_hand_2_x,Left_hand_2_y,Left_hand_3_x,Left_hand_3_y,Left_hand_4_x,Left_hand_4_y,Left_hand_5_x,Left_hand_5_y,Left_hand_6_x,Left_hand_6_y,Left_hand_7_x,Left_hand_7_y,Left_hand_8_x,Left_hand_8_y,Left_hand_9_x,Left_hand_9_y,Left_hand_10_x,Left_hand_10_y,Left_hand_11_x,Left_hand_11_y,Left_hand_12_x,Left_hand_12_y,Left_hand_13_x,Left_hand_13_y,Left_hand_14_x,Left_hand_14_y,Left_hand_15_x,Left_hand_15_y,Left_hand_16_x,Left_hand_16_y,Left_hand_17_x,Left_hand_17_y,Left_hand_18_x,Left_hand_18_y,Left_hand_19_x,Left_hand_19_y,Left_hand_20_x,Left_hand_20_y,Right_hand_0_x,Right_hand_0_y,Right_hand_1_x,Right_hand_1_y,Right_hand_2_x,Right_hand_2_y,Right_hand_3_x,Right_hand_3_y,Right_hand_4_x,Right_hand_4_y,Right_hand_5_x,Right_hand_5_y,Right_hand_6_x,Right_hand_6_y,Right_hand_7_x,Right_hand_7_y,Right_hand_8_x,Right_hand_8_y,Right_hand_9_x,Right_hand_9_y,Right_hand_10_x,Right_hand_10_y,Right_hand_11_x,Right_hand_11_y,Right_hand_12_x,Right_hand_12_y,Right_hand_13_x,Right_hand_13_y,Right_hand_14_x,Right_hand_14_y,Right_hand_15_x,Right_hand_15_y,Right_hand_16_x,Right_hand_16_y,Right_hand_17_x,Right_hand_17_y,Right_hand_18_x,Right_hand_18_y,Right_hand_19_x,Right_hand_19_y,Right_hand_20_x,Right_hand_20_y
995.498,271.357,1001.237,436.189,833.411,462.795,793.918,688.385,765.561,873.256,1171.827,412.496,1287.690,624.218,1330.917,856.286,1039.749,812.396,924.754,829.930,750.441,,,,1146.468,792.268,1363.650,,,,951.156,244.825,1024.463,232.507,905.588,270.884,1071.898,247.811,,,,,,,,,,,,,10,0.420,1338.195,862.096,1312.890,896.956,1296.107,942.718,1298.659,979.452,1309.716,1001.781,1311.672,974.420,1314.486,1009.594,1318.485,1018.597,1324.249,1018.087,1338.984,974.256,1342.371,1013.428,1345.134,1008.171,1347.423,996.659,1361.423,962.411,1365.345,1004.729,1367.343,996.513,1364.364,984.159,1380.056,950.604,1388.548,987.102,1387.158,981.981,1384.393,975.152,758.180,902.175,785.288,914.632,811.843,942.774,815.689,978.792,812.264,1009.807,778.629,935.998,787.277,983.725,796.007,1007.034,804.617,1014.764,750.436,945.604,763.691,999.382,773.573,1015.443,782.305,1017.123,730.949,956.637,742.483,1003.409,752.149,1016.064,760.157,1016.982,716.473,967.237,723.562,1001.599,732.560,1010.803,738.882,1013.641
994.791,271.365,1001.245,436.175,833.401,462.326,792.831,687.572,765.211,869.214,1172.503,412.501,1288.740,624.829,1330.908,856.192,1035.740,813.722,919.494,830.743,749.847,,,,1145.549,796.435,1368.492,,,,951.143,244.817,1024.457,232.797,905.584,270.182,1071.911,247.816,,,,,,,,,,,,,11,0.462,1338.493,862.669,1312.856,897.113,1295.693,943.046,1297.469,980.025,1308.389,1002.312,1311.633,974.859,1314.363,1011.039,1318.013,1018.664,1323.252,1017.129,1338.943,974.529,1342.555,1013.440,1345.256,1007.461,1346.606,995.837,1361.373,962.804,1365.278,1004.993,1367.273,996.313,1364.287,983.415,1379.736,950.721,1388.274,988.063,1386.661,982.255,1384.482,975.148,758.258,896.346,785.565,909.434,811.945,937.585,815.454,973.566,812.014,1004.030,779.000,930.236,787.200,977.736,795.343,1001.921,804.304,1009.619,750.792,939.866,763.698,993.320,773.449,1009.750,782.264,1012.129,731.039,951.071,742.156,997.418,752.551,1010.503,760.350,1011.195,715.780,961.439,723.655,995.815,732.490,1005.329,739.109,1008.412
994.201,271.375,1001.253,436.155,833.403,461.735,792.416,686.323,765.730,863.586,1172.862,412.496,1289.330,625.238,1330.896,855.998,1034.288,814.135,917.186,830.977,747.661,,,,1144.649,798.269,1372.033,,,,951.133,244.815,1023.900,233.495,905.505,269.403,1071.922,247.821,,,,,,,,,,,,,12,0.504,1337.972,863.684,1312.408,897.551,1295.068,943.205,1296.319,980.859,1307.199,1003.415,1311.701,975.336,1314.289,1012.172,1317.737,1019.295,1322.725,1016.748,1338.774,974.831,1342.662,1013.825,1345.613,1007.509,1346.173,995.841,1361.172,963.168,1365.331,1005.404,1367.199,996.549,1364.323,983.210,1379.307,951.128,1387.995,988.860,1386.512,982.422,1384.884,974.990,758.312,890.751,785.743,904.734,812.428,932.930,815.761,969.035,812.034,998.947,779.594,925.511,787.749,973.345,795.763,997.483,805.293,1004.368,751.421,935.090,764.402,988.334,774.036,1005.146,782.950,1007.301,731.602,945.454,742.590,992.061,753.249,1005.492,760.496,1005.954,715.858,955.405,724.156,989.997,732.818,1000.513,740.020,1003.876
993.405,271.378,1001.260,436.136,833.416,460.709,792.649,683.721,766.100,858.659,1173.666,412.499,1289.657,625.105,1330.887,856.259,1033.268,813.217,916.881,829.083,744.710,,,,1143.326,797.886,1373.236,,,,951.124,244.812,1022.991,234.076,905.659,268.722,1071.930,247.832,,,,,,,,,,,,,13,0.546,1337.165,863.049,1311.866,897.663,1294.360,943.779,1295.289,982.007,1306.341,1004.662,1311.010,975.592,1313.946,1013.182,1317.389,1019.830,1322.442,1016.926,1338.008,974.854,1342.256,1014.136,1344.915,1008.313,1345.602,996.413,1360.482,963.553,1364.987,1005.495,1366.733,996.466,1364.038,983.128,1378.998,951.178,1387.765,989.206,1386.405,982.465,1384.818,975.096,759.252,886.593,786.578,900.832,812.552,927.950,816.758,964.117,812.697,994.176,780.398,921.439,788.718,969.548,796.648,993.592,806.459,999.667,752.196,930.335,765.185,984.084,775.250,1001.210,784.311,1002.653,732.523,940.491,743.414,987.154,754.567,1001.320,761.175,1001.399,717.305,950.147,724.919,985.058,733.923,996.898,741.824,1000.617
992.702,271.379,1001.270,436.115,833.438,459.962,793.094,681.674,766.823,856.273,1174.733,412.502,1290.022,625.328,1330.885,857.312,1033.948,812.667,917.147,827.290,743.175,,,,1142.928,796.519,1372.241,,,,951.112,244.805,1022.093,234.876,904.701,268.255,1071.931,247.836,,,,,,,,,,,,,14,0.588,1336.060,861.721,1311.339,897.490,1293.923,943.698,1294.468,982.488,1306.464,1005.327,1310.298,975.775,1312.916,1012.982,1317.184,1020.268,1322.338,1017.551,1337.094,975.233,1341.882,1014.155,1344.452,1008.995,1345.408,997.027,1359.545,963.943,1364.769,1005.471,1366.183,996.508,1363.842,983.199,1378.634,951.229,1387.512,989.143,1386.451,983.102,1384.724,975.676,760.809,883.906,787.847,898.976,813.810,925.980,818.144,961.853,813.560,991.740,781.416,920.043,789.580,967.983,797.853,990.760,808.648,996.346,753.190,928.191,766.181,982.080,776.363,998.783,785.194,999.925,733.499,938.516,744.120,984.731,755.375,999.225,761.614,999.259,718.310,948.445,725.417,982.766,734.435,995.265,742.445,998.444
992.243,271.379,1001.280,436.101,833.459,459.254,794.165,679.994,767.644,856.625,1174.992,412.505,1290.018,625.250,1330.887,858.613,1035.294,812.915,917.559,827.471,742.177,,,,1143.898,796.254,1369.400,,,,951.106,244.797,1021.769,235.594,904.347,268.110,1071.927,247.825,,,,,,,,,,,,,15,0.630,1335.026,860.313,1311.152,897.301,1293.822,943.610,1294.268,982.520,1307.218,1005.240,1309.755,975.599,1311.947,1012.151,1317.121,1020.426,1322.588,1018.162,1336.103,975.419,1341.601,1013.977,1343.646,1010.025,1345.712,997.924,1358.510,964.524,1364.733,1005.336,1365.871,996.766,1363.758,983.987,1378.422,951.068,1387.424,989.123,1386.556,984.028,1384.195,976.595,762.288,885.619,789.313,900.076,815.200,927.465,819.762,963.211,814.462,992.745,782.651,921.522,790.872,969.352,799.087,991.264,808.459,997.926,754.260,929.216,766.918,983.042,776.665,999.465,785.441,1001.773,734.558,939.517,744.094,985.267,755.782,1000.248,762.486,1000.974,720.388,948.432,725.309,983.211,734.936,995.990,742.842,998.936
992.113,271.378,1001.283,436.094,833.469,459.643,794.858,680.010,768.360,861.217,1175.063,412.487,1289.636,624.990,1330.894,859.131,1037.701,811.898,919.714,826.564,742.732,,,,1144.461,794.207,1365.702,,,,951.103,244.796,1021.641,236.061,904.660,268.260,1071.920,247.818,,,,,,,,,,,,,16,0.672,1334.579,860.655,1311.066,897.739,1293.834,943.784,1294.716,982.758,1308.561,1005.223,1309.602,975.479,1311.063,1010.690,1317.239,1020.517,1323.180,1019.108,1335.549,975.766,1341.461,1014.115,1343.464,1010.631,1346.365,998.703,1357.798,964.863,1364.774,1005.203,1365.737,997.236,1363.892,984.899,1378.493,951.221,1387.372,988.872,1386.901,984.891,1383.861,977.353,763.766,890.343,791.060,904.251,816.991,933.680,821.133,968.775,815.413,998.162,783.953,927.173,791.972,975.176,799.862,996.255,808.402,1003.621,755.309,934.608,767.669,988.117,777.269,1004.288,786.080,1007.477,735.734,944.852,744.420,990.051,756.104,1005.151,763.561,1006.494,722.382,952.735,725.776,987.754,735.471,1000.164,743.347,1004.018
992.274,271.373,1001.279,436.108,833.456,460.793,795.030,680.934,768.829,867.457,1174.734,412.483,1289.295,624.660,1330.901,858.714,1038.731,811.722,921.472,827.118,744.929,,,,1143.997,793.300,1363.220,,,,951.109,244.804,1021.795,236.187,904.881,268.485,1071.916,247.819,,,,,,,,,,,,,17,0.714,1334.614,860.909,1311.217,897.901,1293.782,943.728,1295.045,982.873,1309.406,1005.027,1309.861,975.411,1311.082,1009.834,1317.170,1020.131,1323.434,1019.519,1335.542,975.740,1341.499,1014.174,1343.338,1010.738,1346.714,998.837,1358.020,964.872,1364.835,1004.980,1365.841,997.180,1363.911,985.156,1378.674,951.243,1387.495,988.335,1387.110,984.933,1383.583,977.507,765.177,896.250,792.498,910.769,818.785,943.027,822.021,977.812,815.978,1007.761,785.242,937.324,792.885,985.187,800.091,1005.343,808.051,1013.108,756.061,944.330,768.112,997.140,777.756,1012.812,786.489,1016.271,736.305,954.855,744.693,999.144,756.345,1013.591,764.771,1015.050,722.970,963.077,726.666,995.996,736.227,1007.844,743.661,1011.937
992.382,271.373,1001.267,436.129,833.430,462.020,795.431,683.173,768.960,873.783,1174.248,412.483,1288.587,624.491,1330.907,859.077,1040.026,812.296,923.122,828.884,748.157,,,,1144.735,793.060,1362.759,,,,951.119,244.810,1022.027,236.152,904.725,268.378,1071.911,247.825,,,,,,,,,,,,,18,0.756,1334.657,860.460,1311.136,897.441,1293.584,943.356,1295.058,982.779,1308.968,1004.891,1310.216,975.214,1311.608,1010.652,1316.884,1019.705,1323.212,1018.506,1335.883,975.520,1341.694,1013.832,1343.601,1009.950,1346.249,998.463,1358.324,964.728,1364.972,1004.884,1365.907,997.014,1363.891,985.400,1378.800,951.023,1387.634,988.049,1387.259,985.026,1383.277,977.651,766.167,903.355,793.840,919.027,820.640,953.976,822.205,988.936,816.383,1019.155,786.166,949.913,793.241,997.691,799.491,1017.439,807.167,1024.596,756.885,956.897,768.306,1008.368,777.690,1023.309,786.517,1026.398,737.016,966.836,745.316,1010.014,756.015,1023.746,764.845,1025.207,723.025,975.033,727.663,1005.494,736.486,1017.268,743.458,1021.163
992.371,271.493,1001.248,436.149,833.402,463.080,795.520,686.314,768.934,879.254,1173.587,412.484,1287.928,624.174,1330.904,858.788,1041.465,813.667,925.279,831.317,750.974,,,,1146.969,794.274,1363.279,,,,951.127,244.807,1021.926,235.684,904.741,268.387,1071.908,247.825,,,,,,,,,,,,,19,0.798,1334.969,860.803,1311.167,896.776,1293.285,942.726,1294.929,982.260,1308.371,1004.877,1310.335,974.914,1311.529,1010.325,1316.341,1019.735,1322.596,1018.912,1336.052,975.111,1341.593,1013.360,1343.811,1009.188,1345.502,997.802,1358.748,964.487,1364.928,1004.731,1365.548,997.058,1363.607,985.547,1378.923,950.781,1387.778,987.808,1386.857,984.547,1382.470,977.272,767.012,909.333,794.935,925.986,821.695,963.993,822.070,999.310,816.247,1029.539,786.731,962.211,792.903,1009.647,798.556,1028.883,805.718,1034.776,757.406,968.994,768.583,1019.396,777.279,1033.260,786.159,1035.003,737.131,977.405,746.189,1020.240,755.779,1033.237,764.653,1033.874,722.611,984.486,728.503,1013.924,736.499,1026.022,743.410,1030.025
992.765,271.273,1001.238,436.157,833.389,463.796,795.733,689.819,768.615,883.488,1172.802,412.475,1286.997,624.228,1330.905,858.333,1044.192,815.433,928.676,834.274,752.807,,,,1151.180,797.047,1364.603,,,,951.004,244.925,1021.937,235.646,904.992,268.398,1071.907,247.828,,,,,,,,,,,,,20,0.840,1334.711,860.979,1311.063,896.312,1292.881,942.083,1295.046,981.158,1308.374,1004.370,1310.510,974.281,1311.358,1009.420,1315.771,1019.707,1322.247,1019.189,1335.866,974.481,1341.540,1012.717,1343.798,1009.002,1345.135,997.521,1358.872,964.043,1364.890,1004.421,1365.466,996.980,1363.297,985.397,1378.942,950.175,1387.844,987.678,1386.569,984.175,1382.021,977.034,767.483,913.061,795.287,931.022,821.955,970.661,821.900,1006.628,816.635,1036.798,786.770,971.560,792.161,1018.730,797.488,1037.782,804.454,1042.072,757.526,978.014,768.415,1027.743,776.948,1040.516,785.671,1040.699,737.073,985.071,746.584,1027.490,755.678,1040.064,764.019,1039.927,721.578,991.428,729.013,1020.240,736.300,1032.340,743.150,1035.995
