RElbow_x,RElbow_y,RWrist_x,RWrist_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y,time
-1.215,-0.418,-1.408,1.332,0.054,0.265,1.989,1.094,0.000
-1.309,-0.070,-1.430,1.407,-0.163,0.159,2.245,1.450,0.010
-1.330,0.019,-1.434,1.422,-0.170,0.160,2.294,1.565,0.020
-1.298,-0.086,-1.424,1.393,-0.024,0.242,2.190,1.500,0.030
-1.243,-0.271,-1.408,1.347,0.185,0.356,2.022,1.357,0.040
-1.196,-0.426,-1.395,1.307,0.363,0.451,1.880,1.239,0.050
-1.176,-0.479,-1.390,1.291,0.449,0.491,1.821,1.210,0.060
-1.186,-0.420,-1.393,1.300,0.435,0.470,1.854,1.278,0.070
-1.215,-0.291,-1.402,1.325,0.355,0.406,1.947,1.407,0.080
-1.245,-0.160,-1.411,1.351,0.267,0.333,2.044,1.534,0.090
-1.261,-0.085,-1.417,1.365,0.220,0.283,2.098,1.609,0.100
-1.255,-0.088,-1.417,1.361,0.235,0.272,2.089,1.610,0.110
-1.233,-0.154,-1.413,1.342,0.301,0.293,2.029,1.553,0.120
-1.207,-0.239,-1.407,1.320,0.380,0.325,1.955,1.477,0.130
-1.188,-0.297,-1.404,1.305,0.432,0.341,1.904,1.424,0.140
-1.185,-0.303,-1.404,1.301,0.434,0.325,1.899,1.416,0.150
-1.197,-0.259,-1.409,1.309,0.387,0.278,1.937,1.450,0.160
-1.214,-0.196,-1.416,1.322,0.316,0.214,1.995,1.501,0.170
-1.229,-0.150,-1.421,1.332,0.256,0.159,2.041,1.536,0.180
-1.234,-0.145,-1.424,1.333,0.231,0.130,2.053,1.534,0.190
-1.228,-0.184,-1.423,1.323,0.246,0.132,2.028,1.491,0.200
-1.217,-0.249,-1.420,1.307,0.283,0.155,1.982,1.427,0.210
-1.208,-0.310,-1.418,1.293,0.316,0.177,1.939,1.366,0.220
-1.208,-0.343,-1.418,1.285,0.321,0.182,1.923,1.330,0.230
-1.219,-0.342,-1.421,1.286,0.289,0.161,1.939,1.323,0.240
-1.237,-0.319,-1.425,1.292,0.229,0.119,1.977,1.335,0.250
-1.256,-0.296,-1.430,1.298,0.164,0.075,2.017,1.343,0.260
-1.271,-0.295,-1.433,1.299,0.115,0.047,2.039,1.330,0.270
-1.278,-0.324,-1.434,1.292,0.097,0.048,2.032,1.290,0.280
-1.280,-0.376,-1.433,1.280,0.106,0.076,2.003,1.230,0.290
-1.283,-0.431,-1.431,1.265,0.128,0.119,1.969,1.169,0.300
-1.292,-0.471,-1.431,1.254,0.144,0.156,1.948,1.125,0.310
-1.309,-0.488,-1.432,1.248,0.141,0.174,1.951,1.109,0.320
-1.333,-0.487,-1.435,1.246,0.116,0.167,1.975,1.115,0.330
-1.360,-0.484,-1.438,1.246,0.082,0.143,2.009,1.129,0.340
-1.383,-0.496,-1.441,1.242,0.055,0.117,2.034,1.134,0.350
-1.401,-0.534,-1.441,1.232,0.048,0.104,2.038,1.120,0.360
-1.414,-0.593,-1.440,1.215,0.066,0.111,2.021,1.089,0.370
-1.426,-0.658,-1.437,1.196,0.102,0.136,1.992,1.053,0.380
-1.441,-0.710,-1.436,1.177,0.144,0.170,1.968,1.026,0.390
-1.463,-0.737,-1.436,1.163,0.180,0.202,1.960,1.020,0.400
-1.492,-0.738,-1.438,1.155,0.204,0.226,1.971,1.036,0.410
-1.523,-0.725,-1.441,1.149,0.221,0.244,1.995,1.063,0.420
-1.552,-0.713,-1.445,1.144,0.238,0.263,2.017,1.087,0.430
-1.575,-0.717,-1.447,1.135,0.264,0.293,2.026,1.094,0.440
-1.590,-0.740,-1.447,1.121,0.302,0.338,2.016,1.082,0.450
-1.598,-0.778,-1.445,1.103,0.347,0.395,1.993,1.055,0.460
-1.603,-0.816,-1.443,1.083,0.390,0.452,1.967,1.026,0.470
-1.609,-0.845,-1.441,1.065,0.421,0.497,1.953,1.007,0.480
-1.617,-0.862,-1.439,1.049,0.434,0.519,1.956,1.005,0.490
-1.626,-0.871,-1.439,1.035,0.433,0.517,1.972,1.018,0.500
-1.632,-0.884,-1.440,1.023,0.426,0.500,1.993,1.036,0.510
-1.633,-0.913,-1.440,1.010,0.425,0.479,2.005,1.051,0.520
-1.628,-0.962,-1.439,0.996,0.435,0.466,2.002,1.058,0.530
-1.618,-1.025,-1.437,0.980,0.457,0.469,1.985,1.058,0.540
-1.607,-1.090,-1.434,0.964,0.485,0.486,1.963,1.061,0.550
-1.597,-1.145,-1.431,0.952,0.509,0.509,1.947,1.075,0.560
-1.590,-1.181,-1.429,0.945,0.522,0.528,1.944,1.107,0.570
-1.585,-1.200,-1.428,0.942,0.523,0.537,1.957,1.155,0.580
-1.579,-1.213,-1.427,0.942,0.517,0.535,1.977,1.211,0.590
-1.568,-1.229,-1.426,0.943,0.510,0.527,1.994,1.267,0.600
-1.551,-1.257,-1.424,0.944,0.508,0.520,1.999,1.313,0.610
-1.528,-1.294,-1.422,0.944,0.512,0.516,1.990,1.346,0.620
-1.503,-1.333,-1.418,0.946,0.519,0.516,1.972,1.369,0.630
-1.481,-1.361,-1.415,0.952,0.521,0.514,1.956,1.388,0.640
-1.465,-1.370,-1.413,0.963,0.514,0.504,1.949,1.405,0.650
-1.457,-1.359,-1.412,0.979,0.497,0.483,1.957,1.422,0.660
-1.455,-1.334,-1.411,0.999,0.473,0.452,1.975,1.435,0.670
-1.457,-1.306,-1.410,1.020,0.450,0.417,1.994,1.438,0.680
-1.457,-1.285,-1.410,1.040,0.435,0.387,2.005,1.428,0.690
-1.454,-1.273,-1.408,1.058,0.428,0.368,2.002,1.409,0.700
-1.447,-1.266,-1.406,1.073,0.427,0.360,1.989,1.387,0.710
-1.437,-1.255,-1.405,1.089,0.423,0.360,1.972,1.374,0.720
-1.427,-1.231,-1.403,1.105,0.411,0.359,1.962,1.375,0.730
-1.420,-1.190,-1.403,1.124,0.387,0.350,1.964,1.391,0.740
-1.416,-1.134,-1.404,1.145,0.354,0.330,1.978,1.416,0.750
-1.414,-1.073,-1.405,1.166,0.319,0.301,1.996,1.438,0.760
-1.413,-1.013,-1.405,1.185,0.290,0.271,2.009,1.447,0.770
-1.412,-0.959,-1.405,1.201,0.270,0.247,2.010,1.439,0.780
-1.410,-0.911,-1.405,1.215,0.258,0.234,1.998,1.414,0.790
-1.408,-0.861,-1.404,1.226,0.248,0.232,1.981,1.382,0.800
-1.407,-0.806,-1.404,1.237,0.233,0.236,1.966,1.354,0.810
-1.405,-0.742,-1.405,1.249,0.207,0.242,1.962,1.336,0.820
-1.401,-0.677,-1.406,1.262,0.171,0.245,1.971,1.330,0.830
-1.393,-0.618,-1.408,1.276,0.129,0.246,1.987,1.331,0.840
-1.378,-0.577,-1.410,1.288,0.091,0.247,2.002,1.333,0.850
-1.355,-0.559,-1.411,1.297,0.064,0.255,2.007,1.328,0.860
-1.326,-0.560,-1.411,1.302,0.052,0.273,2.000,1.317,0.870
-1.295,-0.572,-1.411,1.305,0.052,0.302,1.983,1.304,0.880
-1.267,-0.583,-1.410,1.306,0.057,0.340,1.966,1.297,0.890
-1.244,-0.582,-1.410,1.307,0.061,0.381,1.957,1.303,0.900
-1.227,-0.569,-1.411,1.309,0.060,0.422,1.960,1.323,0.910
-1.215,-0.548,-1.411,1.310,0.054,0.459,1.974,1.353,0.920
-1.205,-0.530,-1.411,1.311,0.049,0.494,1.992,1.385,0.930
-1.193,-0.524,-1.411,1.309,0.052,0.529,2.003,1.411,0.940
-1.177,-0.533,-1.409,1.306,0.067,0.567,2.002,1.427,0.950
-1.159,-0.552,-1.406,1.301,0.094,0.606,1.990,1.434,0.960
-1.140,-0.571,-1.403,1.296,0.131,0.644,1.973,1.437,0.970
-1.124,-0.582,-1.399,1.293,0.171,0.677,1.960,1.444,0.980
-1.113,-0.579,-1.396,1.293,0.208,0.702,1.958,1.459,0.990
-1.108,-0.564,-1.393,1.295,0.241,0.716,1.969,1.481,1.000
-1.106,-0.547,-1.391,1.299,0.270,0.722,1.985,1.504,1.010
-1.105,-0.536,-1.388,1.303,0.298,0.724,1.999,1.519,1.020
-1.103,-0.538,-1.385,1.305,0.327,0.725,2.002,1.522,1.030
-1.099,-0.553,-1.380,1.306,0.358,0.725,1.992,1.512,1.040
-1.094,-0.575,-1.376,1.305,0.387,0.724,1.975,1.493,1.050
-1.088,-0.592,-1.371,1.305,0.411,0.717,1.959,1.475,1.060
-1.084,-0.599,-1.366,1.305,0.427,0.701,1.952,1.466,1.070
-1.081,-0.593,-1.362,1.307,0.432,0.674,1.958,1.472,1.080
-1.077,-0.579,-1.359,1.309,0.431,0.639,1.974,1.492,1.090
-1.070,-0.566,-1.355,1.310,0.425,0.600,1.992,1.520,1.100
-1.059,-0.562,-1.351,1.309,0.420,0.561,2.001,1.551,1.110
-1.044,-0.570,-1.347,1.306,0.416,0.525,1.998,1.577,1.120
-1.028,-0.586,-1.342,1.301,0.413,0.493,1.983,1.596,1.130
-1.014,-0.603,-1.338,1.296,0.409,0.460,1.965,1.606,1.140
-1.005,-0.613,-1.336,1.293,0.400,0.424,1.953,1.610,1.150
-1.005,-0.611,-1.334,1.293,0.385,0.383,1.953,1.610,1.160
-1.010,-0.600,-1.334,1.294,0.366,0.337,1.965,1.604,1.170
-1.020,-0.585,-1.335,1.297,0.346,0.291,1.982,1.594,1.180
-1.031,-0.574,-1.336,1.300,0.327,0.253,1.994,1.576,1.190
-1.040,-0.572,-1.338,1.302,0.312,0.226,1.994,1.554,1.200
-1.046,-0.580,-1.340,1.303,0.300,0.213,1.981,1.529,1.210
-1.052,-0.593,-1.342,1.303,0.290,0.214,1.961,1.506,1.220
-1.059,-0.605,-1.345,1.304,0.279,0.225,1.943,1.490,1.230
-1.070,-0.613,-1.349,1.306,0.269,0.243,1.938,1.482,1.240
-1.086,-0.615,-1.354,1.308,0.263,0.263,1.947,1.482,1.250
-1.106,-0.617,-1.359,1.309,0.263,0.284,1.965,1.484,1.260
-1.129,-0.624,-1.365,1.309,0.273,0.306,1.982,1.483,1.270
-1.153,-0.638,-1.370,1.306,0.292,0.325,1.989,1.477,1.280
-1.178,-0.659,-1.374,1.302,0.315,0.339,1.979,1.464,1.290
-1.204,-0.681,-1.378,1.296,0.337,0.343,1.959,1.448,1.300
-1.232,-0.699,-1.380,1.290,0.351,0.336,1.937,1.433,1.310
-1.263,-0.706,-1.383,1.286,0.357,0.318,1.925,1.424,1.320
-1.297,-0.704,-1.386,1.284,0.358,0.295,1.930,1.423,1.330
-1.331,-0.700,-1.390,1.284,0.361,0.276,1.950,1.428,1.340
-1.361,-0.699,-1.393,1.284,0.374,0.270,1.974,1.435,1.350
-1.386,-0.709,-1.396,1.283,0.401,0.283,1.991,1.441,1.360
-1.403,-0.731,-1.399,1.281,0.439,0.313,1.990,1.443,1.370
-1.413,-0.758,-1.401,1.278,0.482,0.353,1.971,1.442,1.380
-1.419,-0.782,-1.403,1.274,0.518,0.390,1.945,1.440,1.390
-1.424,-0.794,-1.405,1.271,0.537,0.411,1.924,1.439,1.400
-1.432,-0.791,-1.407,1.269,0.535,0.409,1.921,1.443,1.410
-1.442,-0.777,-1.409,1.268,0.515,0.384,1.939,1.450,1.420
-1.454,-0.760,-1.411,1.267,0.484,0.345,1.969,1.461,1.430
-1.465,-0.751,-1.412,1.264,0.455,0.303,1.996,1.473,1.440
-1.471,-0.757,-1.414,1.258,0.436,0.271,2.005,1.486,1.450
-1.471,-0.778,-1.414,1.249,0.432,0.252,1.990,1.501,1.460
-1.465,-0.806,-1.415,1.238,0.440,0.244,1.957,1.521,1.470
-1.457,-0.832,-1.415,1.227,0.456,0.240,1.923,1.545,1.480
-1.448,-0.845,-1.416,1.218,0.473,0.231,1.906,1.572,1.490
-1.443,-0.842,-1.417,1.212,0.490,0.212,1.919,1.597,1.500
-1.440,-0.827,-1.418,1.209,0.508,0.186,1.961,1.615,1.510
-1.441,-0.808,-1.420,1.207,0.531,0.160,2.017,1.619,1.520
-1.442,-0.792,-1.422,1.207,0.565,0.145,2.065,1.611,1.530
-1.443,-0.785,-1.423,1.207,0.613,0.151,2.083,1.591,1.540
-1.441,-0.787,-1.425,1.206,0.673,0.178,2.063,1.568,1.550
-1.438,-0.791,-1.427,1.205,0.742,0.221,2.012,1.548,1.560
-1.435,-0.791,-1.429,1.205,0.812,0.266,1.951,1.536,1.570
-1.432,-0.783,-1.431,1.206,0.880,0.300,1.903,1.531,1.580
-1.429,-0.767,-1.434,1.209,0.942,0.309,1.886,1.528,1.590
-1.425,-0.749,-1.436,1.213,1.000,0.287,1.902,1.519,1.600
-1.419,-0.735,-1.437,1.219,1.055,0.235,1.939,1.497,1.610
-1.407,-0.729,-1.438,1.225,1.111,0.160,1.974,1.463,1.620
-1.390,-0.734,-1.438,1.231,1.168,0.072,1.985,1.420,1.630
-1.368,-0.746,-1.438,1.237,1.227,-0.019,1.962,1.378,1.640
-1.342,-0.757,-1.439,1.244,1.286,-0.103,1.909,1.346,1.650
-1.316,-0.763,-1.439,1.252,1.345,-0.174,1.842,1.332,1.660
-1.290,-0.761,-1.441,1.261,1.405,-0.231,1.781,1.333,1.670
-1.265,-0.755,-1.442,1.271,1.467,-0.274,1.743,1.341,1.680
-1.241,-0.748,-1.443,1.280,1.533,-0.308,1.735,1.343,1.690
-1.217,-0.745,-1.444,1.288,1.602,-0.342,1.755,1.325,1.700
-1.192,-0.747,-1.443,1.294,1.673,-0.386,1.794,1.276,1.710
-1.166,-0.751,-1.442,1.301,1.740,-0.447,1.849,1.189,1.720
-1.140,-0.753,-1.441,1.307,1.801,-0.533,1.923,1.064,1.730
-1.115,-0.748,-1.439,1.315,1.855,-0.642,2.027,0.903,1.740
-1.092,-0.737,-1.438,1.323,1.903,-0.766,2.178,0.709,1.750
-1.072,-0.722,-1.438,1.332,1.950,-0.891,2.385,0.482,1.760
-1.055,-0.708,-1.438,1.341,2.002,-1.003,2.650,0.222,1.770
-1.041,-0.701,-1.438,1.349,2.063,-1.088,2.965,-0.072,1.780
-1.030,-0.703,-1.437,1.356,2.132,-1.144,3.312,-0.400,1.790
-1.022,-0.711,-1.435,1.361,2.205,-1.177,3.675,-0.756,1.800
-1.019,-0.720,-1.433,1.366,2.277,-1.198,4.044,-1.132,1.810
-1.022,-0.721,-1.431,1.371,2.342,-1.225,4.417,-1.518,1.820
-1.033,-0.712,-1.429,1.377,2.397,-1.272,4.801,-1.903,1.830
-1.050,-0.695,-1.427,1.382,2.445,-1.345,5.199,-2.277,1.840
-1.074,-0.675,-1.425,1.387,2.492,-1.444,5.608,-2.637,1.850
-1.100,-0.661,-1.423,1.391,2.541,-1.561,6.013,-2.983,1.860
-1.129,-0.656,-1.422,1.394,2.596,-1.688,6.390,-3.316,1.870
-1.157,-0.663,-1.421,1.395,2.653,-1.820,6.713,-3.641,1.880
-1.185,-0.677,-1.419,1.395,2.708,-1.954,6.966,-3.961,1.890
-1.213,-0.689,-1.417,1.396,2.753,-2.094,7.147,-4.275,1.900
-1.243,-0.694,-1.416,1.399,2.784,-2.246,7.270,-4.582,1.910
-1.273,-0.687,-1.415,1.403,2.800,-2.412,7.359,-4.875,1.920
-1.303,-0.672,-1.413,1.407,2.809,-2.590,7.437,-5.145,1.930
-1.330,-0.654,-1.412,1.412,2.816,-2.771,7.513,-5.383,1.940
-1.353,-0.642,-1.411,1.416,2.830,-2.945,7.583,-5.581,1.950
-1.370,-0.640,-1.409,1.418,2.854,-3.100,7.631,-5.730,1.960
-1.379,-0.648,-1.407,1.418,2.886,-3.230,7.634,-5.827,1.970
-1.381,-0.661,-1.405,1.416,2.920,-3.331,7.578,-5.872,1.980
-1.377,-0.674,-1.404,1.414,2.949,-3.402,7.461,-5.870,1.990
-1.368,-0.679,-1.402,1.412,2.968,-3.444,7.297,-5.828,2.000
-1.354,-0.676,-1.401,1.410,2.976,-3.455,7.110,-5.755,2.010
-1.336,-0.668,-1.399,1.407,2.979,-3.430,6.925,-5.656,2.020
-1.310,-0.658,-1.398,1.404,2.983,-3.362,6.762,-5.535,2.030
-1.278,-0.651,-1.397,1.399,2.996,-3.243,6.630,-5.391,2.040
-1.239,-0.650,-1.395,1.394,3.020,-3.074,6.530,-5.223,2.050
-1.194,-0.651,-1.394,1.387,3.056,-2.858,6.459,-5.030,2.060
-1.146,-0.651,-1.392,1.380,3.096,-2.609,6.419,-4.813,2.070
-1.099,-0.646,-1.391,1.372,3.135,-2.343,6.415,-4.581,2.080
-1.056,-0.635,-1.389,1.365,3.163,-2.080,6.454,-4.345,2.090
-1.018,-0.619,-1.388,1.359,3.176,-1.836,6.542,-4.120,2.100
-0.985,-0.604,-1.386,1.353,3.171,-1.620,6.673,-3.916,2.110
-0.956,-0.592,-1.384,1.348,3.148,-1.434,6.832,-3.739,2.120
-0.930,-0.585,-1.381,1.344,3.110,-1.274,6.994,-3.585,2.130
-0.907,-0.582,-1.379,1.341,3.057,-1.132,7.132,-3.445,2.140
-0.885,-0.580,-1.377,1.339,2.992,-0.996,7.224,-3.307,2.150
-0.866,-0.573,-1.375,1.338,2.918,-0.857,7.262,-3.157,2.160
-0.851,-0.560,-1.374,1.337,2.837,-0.709,7.250,-2.987,2.170
-0.841,-0.543,-1.374,1.336,2.752,-0.550,7.196,-2.797,2.180
-0.837,-0.524,-1.374,1.335,2.664,-0.387,7.113,-2.589,2.190
-0.839,-0.509,-1.374,1.332,2.573,-0.233,7.004,-2.371,2.200
-0.845,-0.501,-1.373,1.328,2.475,-0.107,6.862,-2.148,2.210
-0.854,-0.499,-1.373,1.323,2.364,-0.026,6.676,-1.925,2.220
-0.864,-0.499,-1.372,1.319,2.237,-0.005,6.436,-1.705,2.230
-0.875,-0.498,-1.372,1.316,2.089,-0.050,6.139,-1.487,2.240
-0.886,-0.492,-1.373,1.314,1.925,-0.151,5.794,-1.274,2.250
-0.896,-0.481,-1.374,1.314,1.750,-0.288,5.419,-1.066,2.260
-0.904,-0.467,-1.375,1.314,1.575,-0.432,5.035,-0.868,2.270
-0.911,-0.456,-1.376,1.315,1.411,-0.551,4.658,-0.684,2.280
-0.916,-0.451,-1.377,1.316,1.266,-0.623,4.294,-0.516,2.290
-0.919,-0.454,-1.377,1.316,1.142,-0.635,3.943,-0.364,2.300
-0.920,-0.462,-1.377,1.317,1.038,-0.590,3.598,-0.225,2.310
-0.919,-0.469,-1.376,1.318,0.948,-0.501,3.258,-0.093,2.320
-0.916,-0.472,-1.376,1.319,0.864,-0.386,2.927,0.039,2.330
-0.910,-0.467,-1.375,1.321,0.783,-0.263,2.621,0.176,2.340
-0.903,-0.457,-1.375,1.323,0.702,-0.141,2.355,0.319,2.350
-0.893,-0.444,-1.375,1.324,0.624,-0.021,2.141,0.466,2.360
-0.881,-0.435,-1.375,1.324,0.553,0.103,1.978,0.613,2.370
-0.868,-0.433,-1.375,1.324,0.491,0.236,1.854,0.754,2.380
-0.854,-0.439,-1.375,1.323,0.440,0.382,1.750,0.884,2.390
-0.842,-0.450,-1.375,1.322,0.397,0.536,1.648,0.997,2.400
-0.830,-0.461,-1.375,1.322,0.361,0.689,1.544,1.090,2.410
-0.820,-0.467,-1.375,1.321,0.329,0.826,1.448,1.160,2.420
-0.810,-0.468,-1.375,1.321,0.301,0.936,1.385,1.205,2.430
-0.802,-0.465,-1.375,1.320,0.278,1.012,1.377,1.228,2.440
-0.795,-0.460,-1.375,1.319,0.260,1.054,1.441,1.231,2.450
-0.788,-0.456,-1.375,1.317,0.248,1.067,1.571,1.218,2.460
-0.783,-0.457,-1.375,1.315,0.241,1.060,1.741,1.195,2.470
-0.780,-0.459,-1.375,1.314,0.235,1.039,1.913,1.166,2.480
-0.781,-0.462,-1.375,1.314,0.227,1.009,2.047,1.137,2.490
-0.786,-0.463,-1.375,1.314,0.214,0.971,2.118,1.108,2.500
-0.794,-0.461,-1.375,1.316,0.194,0.923,2.122,1.080,2.510
-0.802,-0.456,-1.375,1.317,0.171,0.864,2.075,1.051,2.520
-0.810,-0.452,-1.375,1.318,0.148,0.795,2.007,1.021,2.530
-0.815,-0.450,-1.375,1.317,0.129,0.723,1.947,0.987,2.540
-0.817,-0.451,-1.375,1.316,0.117,0.654,1.913,0.952,2.550
-0.817,-0.456,-1.375,1.315,0.111,0.599,1.907,0.918,2.560
-0.814,-0.460,-1.375,1.314,0.112,0.564,1.917,0.888,2.570
-0.811,-0.463,-1.375,1.313,0.115,0.553,1.928,0.864,2.580
-0.809,-0.461,-1.375,1.314,0.118,0.565,1.928,0.848,2.590
-0.808,-0.456,-1.375,1.315,0.120,0.593,1.916,0.839,2.600
-0.808,-0.451,-1.375,1.316,0.119,0.629,1.897,0.836,2.610
-0.808,-0.447,-1.375,1.317,0.115,0.661,1.885,0.836,2.620
-0.809,-0.448,-1.375,1.317,0.109,0.684,1.888,0.838,2.630
-0.808,-0.452,-1.375,1.317,0.101,0.696,1.906,0.841,2.640
-0.807,-0.458,-1.375,1.318,0.091,0.699,1.929,0.844,2.650
-0.807,-0.462,-1.375,1.318,0.081,0.702,1.946,0.845,2.660
-0.807,-0.462,-1.375,1.320,0.073,0.717,1.945,0.844,2.670
-0.808,-0.458,-1.375,1.322,0.070,0.752,1.927,0.840,2.680
-0.809,-0.453,-1.375,1.324,0.075,0.813,1.898,0.834,2.690
-0.810,-0.449,-1.375,1.325,0.087,0.895,1.872,0.827,2.700
-0.810,-0.448,-1.376,1.324,0.105,0.986,1.862,0.822,2.710
-0.810,-0.452,-1.375,1.323,0.123,1.069,1.874,0.823,2.720
-0.809,-0.458,-1.375,1.321,0.136,1.128,1.900,0.830,2.730
-0.808,-0.463,-1.375,1.319,0.139,1.150,1.927,0.843,2.740
-0.807,-0.465,-1.375,1.318,0.129,1.132,1.940,0.858,2.750
-0.808,-0.462,-1.375,1.317,0.110,1.081,1.928,0.869,2.760
-0.809,-0.457,-1.375,1.316,0.086,1.011,1.894,0.871,2.770
-0.810,-0.452,-1.376,1.315,0.065,0.940,1.849,0.862,2.780
-0.811,-0.449,-1.376,1.313,0.053,0.880,1.812,0.842,2.790
-0.811,-0.451,-1.376,1.312,0.053,0.838,1.797,0.815,2.800
-0.809,-0.456,-1.375,1.310,0.062,0.814,1.810,0.787,2.810
-0.808,-0.462,-1.375,1.308,0.075,0.800,1.847,0.764,2.820
-0.808,-0.465,-1.375,1.307,0.088,0.791,1.895,0.749,2.830
-0.808,-0.465,-1.375,1.307,0.096,0.781,1.940,0.741,2.840
-0.809,-0.460,-1.375,1.308,0.098,0.775,1.973,0.738,2.850
-0.810,-0.455,-1.376,1.308,0.095,0.777,1.995,0.734,2.860
-0.811,-0.451,-1.376,1.308,0.093,0.798,2.013,0.728,2.870
-0.811,-0.451,-1.376,1.309,0.095,0.844,2.036,0.719,2.880
-0.810,-0.455,-1.376,1.310,0.104,0.914,2.070,0.709,2.890
-0.809,-0.460,-1.375,1.312,0.119,1.005,2.112,0.701,2.900
-0.808,-0.464,-1.375,1.315,0.140,1.108,2.149,0.699,2.910
-0.808,-0.465,-1.375,1.320,0.166,1.218,2.163,0.700,2.920
-0.808,-0.461,-1.375,1.325,0.193,1.332,2.139,0.702,2.930
-0.810,-0.455,-1.375,1.330,0.223,1.451,2.068,0.700,2.940
-0.811,-0.450,-1.376,1.334,0.255,1.583,1.957,0.690,2.950
-0.811,-0.449,-1.376,1.336,0.289,1.730,1.817,0.670,2.960
-0.811,-0.451,-1.376,1.337,0.325,1.895,1.668,0.642,2.970
-0.809,-0.456,-1.375,1.338,0.361,2.069,1.526,0.611,2.980
-0.808,-0.461,-1.375,1.337,0.394,2.243,1.401,0.582,2.990
-0.808,-0.463,-1.375,1.337,0.424,2.401,1.295,0.560,3.000
-0.808,-0.460,-1.375,1.337,0.451,2.532,1.201,0.544,3.010
-0.809,-0.455,-1.375,1.338,0.477,2.632,1.114,0.533,3.020
-0.810,-0.449,-1.376,1.339,0.503,2.701,1.028,0.522,3.030
-0.810,-0.446,-1.376,1.339,0.531,2.746,0.941,0.508,3.040
-0.810,-0.446,-1.376,1.339,0.561,2.777,0.855,0.489,3.050
-0.809,-0.450,-1.376,1.339,0.591,2.800,0.775,0.467,3.060
-0.808,-0.455,-1.375,1.339,0.616,2.815,0.701,0.446,3.070
-0.807,-0.459,-1.375,1.340,0.635,2.821,0.635,0.428,3.080
-0.808,-0.458,-1.375,1.341,0.645,2.813,0.574,0.416,3.090
-0.809,-0.453,-1.375,1.343,0.648,2.787,0.518,0.410,3.100
-0.810,-0.448,-1.376,1.345,0.646,2.742,0.465,0.410,3.110
-0.811,-0.443,-1.376,1.346,0.641,2.677,0.419,0.411,3.120
-0.811,-0.443,-1.376,1.347,0.635,2.596,0.383,0.411,3.130
-0.810,-0.446,-1.376,1.347,0.625,2.502,0.358,0.408,3.140
-0.809,-0.452,-1.375,1.347,0.609,2.397,0.343,0.401,3.150
-0.808,-0.457,-1.375,1.347,0.584,2.281,0.337,0.391,3.160
-0.808,-0.458,-1.375,1.348,0.549,2.158,0.333,0.378,3.170
-0.808,-0.456,-1.375,1.348,0.505,2.031,0.328,0.363,3.180
-0.810,-0.451,-1.375,1.349,0.458,1.908,0.322,0.346,3.190
-0.811,-0.447,-1.376,1.349,0.414,1.798,0.317,0.331,3.200
-0.811,-0.446,-1.376,1.349,0.376,1.709,0.320,0.321,3.210
-0.810,-0.448,-1.375,1.348,0.347,1.646,0.334,0.318,3.220
-0.809,-0.454,-1.375,1.346,0.325,1.606,0.357,0.327,3.230
-0.808,-0.460,-1.375,1.345,0.305,1.582,0.383,0.347,3.240
-0.807,-0.463,-1.375,1.343,0.280,1.562,0.401,0.375,3.250
-0.808,-0.463,-1.375,1.342,0.249,1.536,0.398,0.403,3.260
-0.809,-0.458,-1.375,1.341,0.212,1.498,0.368,0.426,3.270
-0.810,-0.453,-1.375,1.338,0.176,1.450,0.311,0.438,3.280
-0.811,-0.450,-1.375,1.335,0.146,1.402,0.235,0.438,3.290
-0.811,-0.450,-1.375,1.332,0.131,1.365,0.151,0.428,3.300
-0.809,-0.454,-1.375,1.329,0.133,1.351,0.072,0.416,3.310
-0.808,-0.459,-1.375,1.326,0.153,1.366,0.004,0.408,3.320
-0.807,-0.463,-1.375,1.325,0.184,1.406,-0.051,0.411,3.330
-0.807,-0.463,-1.375,1.324,0.219,1.465,-0.098,0.423,3.340
-0.807,-0.459,-1.375,1.324,0.250,1.530,-0.142,0.441,3.350
-0.808,-0.454,-1.375,1.324,0.273,1.589,-0.186,0.460,3.360
-0.809,-0.449,-1.375,1.323,0.287,1.635,-0.226,0.474,3.370
-0.810,-0.447,-1.375,1.322,0.296,1.667,-0.253,0.481,3.380
-0.809,-0.449,-1.375,1.320,0.303,1.685,-0.256,0.484,3.390
-0.807,-0.453,-1.375,1.319,0.313,1.695,-0.231,0.489,3.400
-0.806,-0.458,-1.375,1.320,0.329,1.701,-0.180,0.500,3.410
-0.805,-0.459,-1.375,1.322,0.353,1.706,-0.113,0.519,3.420
-0.806,-0.457,-1.375,1.326,0.381,1.711,-0.047,0.543,3.430
-0.807,-0.451,-1.375,1.330,0.411,1.713,-0.000,0.565,3.440
-0.808,-0.446,-1.375,1.335,0.438,1.710,0.017,0.579,3.450
-0.809,-0.443,-1.375,1.339,0.460,1.698,0.005,0.580,3.460
-0.809,-0.444,-1.375,1.343,0.473,1.674,-0.029,0.567,3.470
-0.808,-0.448,-1.375,1.346,0.478,1.635,-0.068,0.547,3.480
-0.806,-0.453,-1.375,1.350,0.475,1.580,-0.098,0.526,3.490
-0.806,-0.456,-1.375,1.355,0.466,1.509,-0.110,0.513,3.500
-0.806,-0.456,-1.375,1.360,0.453,1.424,-0.102,0.510,3.510
-0.806,-0.452,-1.375,1.366,0.437,1.329,-0.082,0.514,3.520
