LElbow_x,LElbow_y,LElbow_z,RElbow_x,RElbow_y,RElbow_z,LWrist_x,LWrist_y,LWrist_z,RWrist_x,RWrist_y,RWrist_z,time
0.6094141628624656,0.7365144936222284,-0.18135998860724123,0.29388194574513976,-0.29552695915530797,-0.2699210542511819,0.39012057210776996,-1.1905112921494456,-0.32441636901363613,0.9891485973786495,-1.112294020390643,-0.4086956259114154,26.85
0.6177932196533605,0.7666154350218528,-0.18129289545794416,0.26970440109362526,-0.29706802750850025,-0.2695593017756841,0.4271998824167388,-1.1731538959168504,-0.32444930985347953,0.9896528369572157,-1.10753338803062,-0.4089768617106482,26.86
0.6223223153372883,0.7919601781028159,-0.18122690961168741,0.24798893033092417,-0.29934210084963214,-0.2691841570887274,0.4515180863711696,-1.1554020401097669,-0.3244677116270904,0.9899640870924665,-1.1025541155550405,-0.4091496750781925,26.87
0.6253711442439934,0.8122147352890231,-0.18115130651432734,0.23060036705999534,-0.30344898100659917,-0.2688233706257173,0.4615103703644568,-1.1390256987373604,-0.3244257404836179,0.9898727449001665,-1.0973384251309373,-0.40919427966748756,26.88
0.6275204783811892,0.8258982039957414,-0.18105925678293616,0.21778126299170983,-0.3099667535226152,-0.26849280659326386,0.4573180902382193,-1.1250690596506678,-0.3242873452970503,0.9891889047782688,-1.0919032725943318,-0.40911878435250315,26.89
0.627485632047101,0.830996755337369,-0.18095170461888524,0.2081983341854584,-0.31858404669558504,-0.268195146915424,0.44051756829261934,-1.1139564394515822,-0.32403951917700075,0.9878597410870611,-1.0862857368725658,-0.4089537437591315,26.9
0.6227916895855429,0.8258111903473724,-0.18083649194015644,0.19960631477594687,-0.328092994858983,-0.26792448624476356,0.4136580775555126,-1.1060103456333883,-0.32369389753622174,0.9860357876822254,-1.0805339604877404,-0.4087368802894275,26.91
0.6109355511096847,0.8096845392569822,-0.1807236490359551,0.18981855048023114,-0.33678580276341674,-0.26767393930268185,0.3796704583868677,-1.1020112716407764,-0.3232777252459332,0.9840483757644841,-1.074710305534342,-0.40849600811851905,26.92
0.5905849527146376,0.7833165419226612,-0.18061971210871308,0.1775551449004328,-0.3431045912034042,-0.267442111287346,0.3412423502510111,-1.1033966067474001,-0.3228201848531296,0.9823010688404917,-1.0689028482467766,-0.4082386840095876,26.93
0.5623388294231781,0.7485499519946432,-0.1805242784550906,0.16282026929555835,-0.3462698899831029,-0.2672351659564656,0.30031294053804175,-1.1118882930755065,-0.3223416437378646,0.9811188859577955,-1.0632336652528407,-0.40795337771692225,26.94
0.5287254121610008,0.7077355473927645,-0.18043066097537705,0.14669576895084602,-0.3466188671583233,-0.2670637282862282,0.2578636028446343,-1.1286593795075732,-0.3218509906068909,0.9806205768461193,-1.0578523684193553,-0.40762099244859634,26.95
0.49339996955482973,0.6629589169242533,-0.18033021924189974,0.13071179971911445,-0.3455149165902204,-0.2669366197105468,0.21411848518212365,-1.1534330236531316,-0.32135134589983677,0.9806705095986679,-1.0529112235476488,-0.40723039721017174,26.96
0.4598241107767774,0.6154714803225947,-0.18021794651982873,0.11613602154353274,-0.3448792443390562,-0.26685499373066596,0.16911604108161976,-1.18400248387728,-0.3208497088237203,0.9809316127107285,-1.0485294529717484,-0.40678978803097426,26.97
0.42994008736711925,0.5655850794511152,-0.1800962212344191,0.10352919370967832,-0.34655121692137636,-0.2668100452849089,0.12342775220591948,-1.2165076126738557,-0.32036402196470815,0.9809957297515358,-1.0447623516975846,-0.4063279823379833,26.98
0.40339534153150197,0.5130937691572438,-0.17997461433885745,0.09275241377343586,-0.35173765448200883,-0.26678540568266423,0.07868252816987722,-1.246466846609538,-0.3199227200461485,0.9805338897640729,-1.0415906471253025,-0.40588491557741496,26.99
0.37768954345350214,0.45805381702081605,-0.17986574050336607,0.083367072641185,-0.36074646621776474,-0.2667627854138859,0.03758811218273788,-1.270202664964054,-0.3195561657574671,0.9794020805572496,-1.0389366181579778,-0.40549601897446363,27.0
0.34926292518815566,0.4015776520277311,-0.1797792390033176,0.07516688340386658,-0.3730589133365163,-0.2667277922622228,0.003338754857659008,-1.28608877634328,-0.3192841116375026,0.9776608670689655,-1.0367002869009878,-0.4051781403195134,27.01
0.31515281041914717,0.34625665263705435,-0.17971697118766183,0.06852102433349912,-0.38765071683198565,-0.26667298942013906,-0.021413780037264424,-1.2950946456523498,-0.31910591527897647,0.9755082313034554,-1.0347985264408324,-0.4049238277530301,27.02
0.2745767094581926,0.29594921302224253,-0.17967190958017512,0.06431466083509553,-0.40339083793128644,-0.2665970216343312,-0.03560713290188549,-1.3003903918115207,-0.31899925574140947,0.9731645023955975,-1.0331880124999928,-0.4047066477237109,27.03
0.2297798025866785,0.25491781309887473,-0.17963129567531405,0.06349045161774058,-0.4193546948662728,-0.2665009757706295,-0.040348716049103193,-1.3061707060752479,-0.318928992337765,0.9707676171136946,-1.0318609866280222,-0.40449486755465663,27.04
0.18574091298169085,0.22657932997207905,-0.17958244997068626,0.06641146924901806,-0.4349655378890717,-0.2663846980654403,-0.03870827493799063,-1.3161779263711713,-0.31886264612275794,0.9683277646570436,-1.0308168894896026,-0.40426692306645357,27.05
0.1487753728047618,0.2123308514375949,-0.17951826410906596,0.07237388936267039,-0.4499734378637526,-0.2662456662988389,-0.03473413804046562,-1.3325074116819806,-0.31878541236867375,0.9657582427565945,-1.0300258128414974,-0.40402144686765323,27.06
0.12452811467054994,0.21093606917700455,-0.17943958348565883,0.0795434617093,-0.4643459052774492,-0.26608128378101503,-0.03205682196594085,-1.355124889654827,-0.3187074904983365,0.9629605374795005,-1.0294045979854243,-0.4037774392141542,27.07
0.11612167597711855,0.21877726724018517,-0.17935329598649258,0.08539939702605272,-0.4781537294551157,-0.2658931340058669,-0.032645509747255955,-1.3821985651913336,-0.318659976486825,0.9599153719953272,-1.028820524494646,-0.403564937282292,27.08
0.12318587997243063,0.23095154173588897,-0.1792671413756699,0.0875341490833347,-0.4915005021740059,-0.265690196789809,-0.03623058266281562,-1.4110077153908573,-0.31868093144600634,0.956730205339193,-1.0281237062199244,-0.40341091990583317,27.09
0.1421519457545845,0.2428427977852609,-0.1791839142305345,0.08448868092293431,-0.5044968107703429,-0.26548825538021437,-0.040616362574666096,-1.438989252608615,-0.3187978889982961,0.953617281940782,-1.0271945281791834,-0.403327118395003,27.1
0.16768139827977352,0.25158050088265355,-0.17909801050462945,0.07627791216223495,-0.5172518967559157,-0.26530471087683005,-0.04271659518455423,-1.4645005043258363,-0.31901472195869385,0.9508125088715091,-1.0259842658090228,-0.40330511661039325,27.11
0.19463624594369358,0.2568083812732671,-0.1789960433143052,0.06438929840112509,-0.5298586942118979,-0.26515073392259236,-0.039837029996698366,-1.4870760790140463,-0.319308671541707,0.9484759439934509,-1.0245296253359886,-0.403320425590376,27.12
0.21978316013799837,0.26044524532537183,-0.17886117974722443,0.051257871315716796,-0.5423707921243666,-0.26502460584316384,-0.030650259711826965,-1.5072201556399363,-0.31963852545535393,0.9466244374358876,-1.022934014830662,-0.4033430195231679,27.13
0.24255603993283562,0.2655319366039745,-0.17867900584245788,0.03943351692624863,-0.5547880466760085,-0.2649100578137086,-0.015489669717936345,-1.5259658273050332,-0.31995979096557037,0.9451313718584126,-1.0213237843259364,-0.4033491373981566,27.14
0.2646213807714089,0.27465350623795715,-0.1784420534559359,0.03076916420167319,-0.5670639023802729,-0.2647812515761099,0.004065482593990348,-1.544466876136662,-0.3202397243536321,0.9437954140234815,-1.01979874930726,-0.40332912753201594,27.15
0.2885130099317849,0.2886275191282779,-0.17815094081522023,0.025929380218498943,-0.579124151997823,-0.26461276439864867,0.026009493404242183,-1.563773707024864,-0.32046560576201555,0.9424460856460675,-1.0183977235917476,-0.40328851027542206,27.16
0.3159944924079702,0.3060546442628787,-0.1778119287722112,0.02436978111764066,-0.5908643023625404,-0.26439022398586515,0.04867473806406748,-1.5847728771895413,-0.32064328286960014,0.9410354799274264,-1.0170913039641554,-0.4032428726235919,27.17
0.3468959925965747,0.32395884528738866,-0.17743258603761794,0.024740703801599536,-0.602094682174891,-0.2641165649220383,0.0710727361034101,-1.60815163976198,-0.3207878345565142,0.9396715006491962,-1.0158005913441388,-0.4032099188408255,27.18
0.3789239242841622,0.3392504141332508,-0.17701818853762916,0.025509773345263952,-0.6124374003591235,-0.2638107232871233,0.09271892072231969,-1.634256138271068,-0.32091180391953567,0.9385755225200575,-1.0144290930683133,-0.40320274085923163,27.19
0.4084771657490974,0.35034280810508744,-0.1765709640302729,0.025538654982048943,-0.6212307792179796,-0.2634991280263064,0.11315258097292975,-1.662833475793432,-0.32101711116583603,0.937983017452558,-1.0128914156323447,-0.40322700540515044,27.2
0.43204143157667685,0.35813472238161076,-0.1760926139817496,0.024402204332203775,-0.6275304608186767,-0.2632038494996225,0.13152889733746234,-1.6927992496523145,-0.32109431710406033,0.9380324294769361,-1.0111277319333607,-0.4032822323823921,27.21
0.44748697779333446,0.36580719834512165,-0.17558860077502558,0.022367940820021522,-0.6302802282284143,-0.2629329541050421,0.14659774630250336,-1.7222460541812203,-0.3211287720499505,0.9386929148183947,-1.009103619365659,-0.40336512252960893,27.22
